Feature.ID	B1_RPKM_fwd_RNA.Seq	B2_RPKM_fwd_RNA.Seq	B3_RPKM_fwd_RNA.Seq	B4_RPKM_fwd_RNA.Seq	B5_RPKM_fwd_RNA.Seq	B6_RPKM_fwd_RNA.Seq	B7_RPKM_fwd_RNA.Seq	B8_RPKM_fwd_RNA.Seq	B9_RPKM_fwd_RNA.Seq	B10_RPKM_fwd_RNA.Seq
DND1	0.151	0.195	0.18	0.335	0.178	0.218	0.163	0.269	0	0.126
DNER	0.049	0.057	0.088	0	0	0.374	0.128	0.066	0.342	0.089
DNHD1	0.204	0.072	0.398	0.467	0.12	0.669	0.343	0.224	0.471	0.077
DNLZ	0.782	1.298	0.531	0.202	0.472	0.241	0.866	0.894	0.155	0.279
DNM1	0.062	0.116	0.059	0.045	0.525	0.215	0.112	0.68	0.138	0.117
DNM1L	19.431	29.542	16.275	12.091	14.177	4.055	13.264	11.16	7.164	24.334
DNM2	23.637	48.539	14.978	42.556	9.834	5.879	10.585	8.366	6.476	21.911
DNM3	0.312	0.377	0.981	0.089	0.127	0.823	0.663	1.052	0.718	0.538
DNMBP	2.63	7.853	3.364	6.974	3.586	1.283	4.865	2.057	2.573	10.389
DNMT1	3.274	5.675	3.293	4.53	11.507	1.23	1.674	9.132	2.261	6.641
DNMT3A	3.107	2.689	2.138	4.388	3.389	1.08	1.992	4.677	1.285	2.942
DNMT3B	0.603	0.961	0.685	0.78	3.075	0.981	0.598	2.937	0.943	2.037
DNMT3L	0	0	0.113	0.029	0	0	0.122	0.032	0.263	0.105
DNPEP	3.667	5.861	1.932	2.203	1.519	1.72	2.743	1.306	1.746	3.049
DNTT	0	0	0.141	0	0.028	0.857	0.282	0.132	0.933	0.231
DNTTIP1	5.99	5.393	21.159	12.454	6.844	2.168	3.564	7.152	2.605	5.605
DNTTIP2	26.695	40.131	31.177	18.496	18.204	6.485	12.475	21.545	7.653	28.13
DOC2A	0.078	0.121	0.186	0.142	0.11	0.169	0.354	0.183	0.163	0.065
DOC2B	0.151	2.157	0.268	0.227	0.212	0.325	0.194	1.556	0.313	0.042
DOCK1	20.308	32.581	20.301	16.476	13.583	4.184	12.215	33.028	5.632	15.369
DOCK10	0.201	1.425	0.272	0.322	0.468	1.105	0.703	0.37	1.326	0.405
DOCK11	0.536	2.568	0.637	0.368	0.446	0.5	0.575	1.821	0.726	0.403
DOCK2	0.272	1.614	0.504	0.216	0.42	1.147	0.968	0.434	1.341	0.409
DOCK3	0.231	0.322	0.362	0.212	3.214	0.958	0.424	0.629	1.164	0.464
DOCK4	1.713	1.631	0.738	0.674	0.929	0.797	1.178	1.249	0.954	0.617
DOCK5	7.24	5.84	4.592	4.065	2.337	3.377	3.879	2.899	2.046	2.092
DOCK6	1.865	0.93	1.472	2.686	1.175	0.765	1.118	0.767	0.858	1.944
DOCK7	11.675	13.153	10.508	7.347	11.259	2.776	6.03	6.985	4.336	11.651
DOCK8	7.159	7.123	2.305	8.66	1.04	1.281	3.898	7.433	2.268	6.484
DOCK9	11.674	15.436	8.726	19.263	7.308	4.776	5.275	5.18	3.172	34.015
DOHH	0.334	0.852	0.233	0.332	0.719	0.085	0.254	0.288	0.109	0.785
DOK1	0.891	1.875	0.639	0.447	1.326	0.363	0.717	0.292	0.512	2.482
DOK2	0.023	0.425	0.163	0	0.129	0.494	0.207	0	0	0.051
DOK3	0.048	0.037	0.369	0.087	0.034	0.103	0.123	0.239	0.199	0.053
DOK4	3.266	3.578	3.041	3.338	0.683	1.08	1.444	0.961	1.303	7.12
DOK5	0	0.171	0.367	0	0	0.191	0.257	0.235	1.039	0.159
DOK6	0.127	0.204	0.076	0.022	0.096	0.668	0.229	0.127	0.428	0.278
DOK7	0.141	0.153	0.268	0.085	0.119	0.122	0.201	0	0.156	0.65
DOLK	2.203	3.697	1.047	1.13	0.982	0.396	1.564	2.056	0.966	2.139
DOLPP1	2.454	5.357	1.148	2.311	2.722	0.241	1.536	2.827	0.566	2.642
DOM3Z	0.992	0.788	0.665	0.983	0.967	0.22	0.953	0.78	0.282	0.508
DONSON	1.459	2.458	1.866	1.644	8.349	0.969	1.304	7.353	1.154	2.491
DOPEY1	5.18	6.453	9.309	5.789	7.909	2.723	6.063	3.719	3.072	7.247
DOPEY2	2.123	2.808	1.489	1.501	3.709	1.115	1.32	2.824	1.152	2.36
DOT1L	0.903	1.197	0.892	2.666	1.999	0.47	0.681	1.886	0.572	1.706
DPAGT1	3.268	4.301	3.5	2.576	3.191	0.816	2.536	2.091	1.307	3.04
DPCD	4.456	16.629	8.3	2.75	5.631	3.937	4.054	3.309	2.944	8.909
DPCR1	0.015	0	0.2	0.018	0.022	1.587	0.277	0.194	0.975	0.106
DPEP1	0.022	0	0	0	0	0.191	0.2	0.029	0.122	0.012
DPEP2	1.604	0.603	0	2.35	0.129	0.198	0.503	0.061	0.444	0.559
DPEP3	0.023	0	0.111	0	0	0.704	0.24	0.031	0.451	0.013
DPF1	0	0	0.039	0	0.023	0.071	0.063	0.022	0.136	0.064
DPF2	4.206	5.673	4.521	2.721	2.454	1.589	2.891	2.858	1.682	5.547
DPF3	0.053	0.193	0.127	0.043	0.15	1	0.345	0.19	0.789	0.089
DPH1	7.041	13.334	6.086	4.916	4.826	1.274	4.808	3.662	2.041	9.708
DPH2	1.88	3.213	2.117	2.19	2.714	0.98	1.444	1.016	0.718	1.763
DPH3	3.673	3.931	1.466	1.55	2.088	0.903	1.696	2.482	1.35	2.944
DPH3P1	0	0	0.18	0.046	0	0.491	0.147	0.152	0.21	0.042
DPH5	8.929	11.82	8.08	3.673	4.851	2.223	5.345	6.058	3.159	3.291
DPM1	23.108	33.999	22.49	18.749	47.654	7.679	13.871	24.889	7.488	41.499
DPM2	1.047	2.392	0.622	1.579	1.105	0.113	0.608	1.291	0.797	1.176
DPM3	5.103	32.768	8.961	1.696	5.414	1.278	3.534	4.044	3.481	11.166
DPP10	0.013	0.02	0.278	0	0	1.349	0.462	0.191	0.811	0.209
DPP3	6.128	9.249	5.674	5.892	4.397	1.474	3.609	3.29	2.434	9.658
DPP4	0.093	3.857	0.394	0.213	0.131	1.972	0.308	1.37	1.522	0.564
DPP6 (NC_000007 153584418..154264025)	0	0	0.065	0	0.077	0	0.284	0.147	0.305	0.092
DPP6 (NC_000007 154400204..154685995)	0.01	0	0.395	0	0.015	0.673	0.201	0.111	0.517	0.161
DPP7	8.232	9.224	4.398	3.473	6.129	3.459	3.845	2.002	1.524	5.291
DPP8	13.922	15.908	11.024	8.385	9.674	3.05	7.341	7.595	5.55	18.985
DPP9	2.426	3.082	3.151	2.95	2.081	0.941	1.737	1.466	1.285	4.454
DPPA2	0.059	0	0.347	0	0	1.137	0.227	0.273	0.324	0.292
DPPA3	0	0	0.185	0	0	1.008	0.201	0.104	0.969	0.086
DPPA4	0	0	0.205	0.017	0	0.496	0.167	0.096	0.676	0.128
DPPA5	0	0	0	0	0	0	0.079	0	0.679	0.068
DPRX	0	0	0.297	0	0.088	1.618	0	0.167	0.864	0.069
DPT	0.07	0.617	0.334	0	0	0.809	0.302	0.281	0.907	0.364
DPY19L1	9.289	8.154	7.507	4.005	5.034	2.048	4.059	4.137	2.417	14.991
DPY19L2	0.638	0.355	2.724	0.373	0.913	0.775	0.94	0.984	0.856	1.096
DPY19L3	6.223	6.41	2.78	3.756	9.783	1.243	2.735	3.548	2.19	7.572
DPY19L4	14.92	33.527	9.882	6.102	16.482	5.102	7.299	4.405	2.767	17.837
DPY30	23.466	50.215	21.144	9.827	24.491	6.117	10.383	19.288	6.16	43.674
DPYD	2.881	1.116	5.338	0.261	0.304	2.427	3.218	0.596	1.515	0.416
DPYS	0	0	0.181	0	0	0.823	0.295	0.076	0.528	0.095
DPYSL2	1.491	5.218	0.606	1.231	1.446	1.135	1.616	2.503	0.813	1.942
DPYSL3	1.049	1.236	14.223	0.226	0.465	1.273	0.91	0.968	0.935	0.666
DPYSL4	0.253	0.645	0.212	0.054	0.021	0.193	0.192	0.139	0.206	0.239
DPYSL5	0	0	0.072	0	0	0.424	0.117	0.071	0.23	0.05
DQX1	0.476	0.904	1.897	0.834	1.016	1.592	0.853	0.246	0.808	1.816
DR1	14.335	25.096	23.301	8.902	10.898	3.976	6.658	13.148	5.48	22.189
DRAM1	1.313	7.783	0.407	2.688	2.009	9.274	1.357	0.533	1.486	3.441
DRAM2	18.513	17.346	12.74	13.593	14.133	3.614	8.116	3.891	5.285	15.263
DRAP1	11.997	28.81	17.692	5.248	11.278	5.391	5.094	7.945	2.452	15.014
DRAXIN	0.068	0.071	0.108	0	0	0.296	0.088	0.122	0.126	0.076
DRD1	0.024	1.431	0.313	0	0.084	0.311	0.201	0.128	0.332	0.306
DRD2	0	0.023	0.107	0	0	0.324	0.077	0.06	0.747	0.042
DRD3	0.049	0	0.234	0	0	0.746	0.223	0.099	0.478	0.233
DRD4	0	0	0	0.036	0.042	0	0	0.158	0	0.016
DRD5	0	0	0.283	0	0.024	0.294	0.11	0	0.377	0.009451
DRG1	14.118	28.958	13.455	12.46	9.113	5.424	6.593	8.558	5.252	20.24
DRG2	4.741	6.716	3.898	2.959	4.364	0.963	3.322	4.025	2.075	6.33
DRGX	0	0	0.238	0	0	0.866	0.324	0.067	0.694	0.111
DROSHA	7.05	6.771	6.643	7.825	5.563	2.003	4.057	7.301	3.3	9.781
DRP2	0.011	0	0.068	0	0.064	0.491	0.11	0.197	0.409	0.107
DSC1	0.057	0	0.45	0	0.027	0.777	0.367	0.189	0.682	0.384
DSC2	6.256	4.899	12.827	1.071	3.703	1	0.538	10.739	1.004	1.143
DSC3	26.815	1.096	69.913	0.133	0.155	0.801	2.456	3.015	1.493	40.092
DSCAM	0.005691	0	0.216	0.006869	0.008012	0.688	0.169	0.159	0.772	0.13
DSCAML1	0.023	0	0.167	0.007078	0	0.279	0.174	0.031	0.357	0.049
DSCC1	0.428	5.966	1.186	1.808	3.866	1.309	0.345	3.4	0.691	2.395
DSCR3	8.288	10.872	5.794	4.536	10.354	1.559	3.423	3.435	2.48	7.266
DSCR4	0	0	0.263	0	0.052	0.478	0.19	2.457	0.816	0.245
DSCR6	0.453	1.122	0.473	0.612	1.809	0.469	0.21	0.724	0.15	0.301
DSE	3.165	4.618	0.92	1.297	2.044	1.338	1.962	0.839	1.233	4.99
DSEL	0.671	0.729	0.238	0.074	0.068	0.791	0.428	0.128	0.434	0.276
DSG1	0.059	0.127	0.212	0.018	0	0.995	0.297	0.267	0.802	0.148
DSG2	81.861	63.769	65.337	17.216	18.428	3.555	21.227	41.135	10.798	50.315
DSG3	0	0.056	0.433	0.018	0	0.693	0.235	0.156	0.625	0.267
DSG4	0.022	0.271	0.364	0.013	0.277	0.897	0.311	0.175	0.666	0.431
DSN1	2.925	5.204	4.582	3.395	10.816	1.944	1.121	4.909	1.068	3.702
DSP	31.427	52.733	29.939	31.542	6.392	4.311	7.232	28.778	10.083	67.31
DSPP	0	0	0.2	0.056	0.026	0.525	0.253	0.05	0.672	0.218
DST	152.923	44.007	31.145	43.558	20.349	7.67	27.408	9.231	23.64	62.611
DSTN	79.896	276.492	77.614	52.551	77.866	30.73	49.309	39.707	27.455	80.339
DSTYK	3.31	4.707	4.083	2.396	2.636	1.525	2.252	2.033	1.473	4.636
DTD1	9.73	12.736	5.62	5.212	13.115	2.044	4.124	2.445	2.456	4.415
DTD2	3.41	8.485	4.481	2.605	1.763	0.782	1.968	2.898	1.379	3.652
DTHD1	0.012	0.056	0.257	0	0	1.039	0.264	0.144	1.032	0.581
DTL	0.523	2.599	2.875	2.413	2.866	0.832	0.403	3.033	1.142	3.13
DTNA	0.151	0.158	1.649	0.068	0.016	0.668	0.214	0.397	0.668	0.147
DTNB	3.005	3.073	2.11	4.628	3.668	2.11	1.911	2.862	1.27	0.994
DTNBP1	2.667	1.552	1.331	2.87	3.132	0.88	1.557	1.608	0.893	2.244
DTWD1	5.061	5.766	6.081	3.48	3.707	2.224	3.571	2.649	2.525	3.993
DTWD2	2.92	3.767	3.671	1.217	1.672	1.124	2.111	1.269	1.779	1.44
DTX1	0	0	0.058	0	0	0.159	0.048	0.016	0.409	0.034
DTX2	1.636	1.69	1.398	6.357	1.293	0.682	1.39	1.167	0.675	2.015
DTX3	0.837	0.494	1.658	1.348	1.684	1.12	1.751	1.569	0.883	3.065
DTX3L	14.281	22.741	9.948	13.021	7.426	3.333	7.155	5.07	5.34	15.256
DTX4	8.769	17.92	5.622	10.567	7.706	2.805	5.715	15.632	3.228	23.749
DTYMK	2.644	3.94	0.954	1.616	1.743	0.434	0.907	2.499	1.112	2.563
DUOX1	2.473	2.572	4.554	3.157	1.124	1.293	2.07	0.323	2.821	1.823
DUOX2	1.077	1.56	2.862	22.961	0.242	3.801	0.675	0.306	1.624	0.453
DUOXA1	4.347	3.5	2.505	3.065	1.606	2.417	2.973	0.115	2.919	1.959
DUOXA2	0.084	0.217	0.534	8.743	0.04	0.606	0.109	0.075	1.088	0.109
DUPD1	0	0	0.145	0	0	0	0.236	0.081	0	0.034
DUS1L	6.314	7.784	6.734	6.428	11.035	1.113	4.548	3.007	1.665	6.996
DUS2L	3.256	3.417	2.994	5.552	3.637	1.996	2.061	0.784	1.745	3.579
DUS3L	1.111	2.669	2.001	1.525	1.806	0.331	0.668	1.302	0.477	1.913
DUS4L	2.946	4.178	2.824	2.12	3.322	1.533	1.902	2.248	1.375	3.368
DUSP1	2.239	18.826	6.031	5.187	3.743	1.123	7.511	1.679	3.874	2.596
DUSP10	2.69	6.469	1.984	0.682	1.072	1.645	0.714	0.098	1.938	6.319
DUSP11	11.824	18.316	12.432	9.653	12.614	2.666	9.307	6.386	4.715	24.797
DUSP12	6.09	9.283	8.157	3.988	5.153	1.959	4.768	16.328	2.69	9.906
DUSP13	0.022	0	0.105	0	0.031	0.477	0.114	0	0.367	0.037
DUSP14	0.939	1.953	1.02	0.583	0.982	0.232	0.831	2.218	0.52	2.234
DUSP15	0.07	0	0.055	0	0.263	0.101	0.06	0.374	0.065	0.091
DUSP16	11.621	24.941	4.705	7.125	3.546	2.824	3.915	5.052	3.921	15.286
DUSP18	1.204	2.172	1.019	0.796	0.906	1.282	1.129	1.694	0.868	3.067
DUSP19	1.038	1.363	1.501	0.617	0.498	0.65	0.69	0.762	0.604	1.106
DUSP2	9.364	10.972	0.627	4.376	1.555	2.489	5.209	5.988	2.127	2.425
DUSP21	0	0	0	0	0	0.197	0.118	0.061	0.253	0.025
DUSP22	3.906	4.951	4.802	1.879	1.769	2.006	2.646	3.971	1.664	3.442
DUSP23	9.509	22.415	10.663	6.558	5.654	3.317	6.406	16.934	2.453	12.424
DUSP26	0.074	0	0	0	0	0.106	0.063	0	0.204	0
DUSP27	0.03	0	1.239	0.048	0.028	0.823	0.181	0.201	0.416	0.122
DUSP28	0.468	0.524	0.309	0.094	0.11	0.787	0.302	0.451	0.288	0.505
DUSP3	3.818	8.195	3.94	2.879	2.764	1.696	2.852	3.874	1.956	4.717
DUSP4	4.833	7.863	3.941	1.264	4.166	1.738	4.896	0.573	1.861	15.202
DUSP5	3.857	15.569	0.95	12.749	6.263	1.659	2.562	5.25	4.608	1.377
DUSP6	16.011	35.691	20.313	16.416	12.926	4.028	9.652	5.835	4.845	83.774
DUSP7	1.688	2.751	5.348	0.574	1.074	1.297	1.47	0.734	1.281	3.644
DUSP8	0.054	0	0.086	0.044	0.089	0.117	0.058	0.036	0.125	0.055
DUSP9	0.102	1.238	0.081	0.144	0.096	0.294	0.285	0.068	0.659	2.094
DUT	15.6	27.624	14.164	9.023	16.002	4.28	6.559	11.434	6.333	14.356
DUX2	0	0	0	0	0	0	0.034	0	0	0
DUX4	0	0	0	0	0	0	0.065	0	0	0
DUX4L2	0	0	0	0	0	0	0.065	0	0	0
DUX4L3	0	0	0	0	0	0.108	0	0	0	0
DUX4L4	0	0	0.12	0	0	0.109	0.065	0.067	0.14	0
DUX4L5	0.025	0	0	0	0	0	0	0	0	0
DUX4L6	0	0	0	0	0	0	0.032	0.033	0	0.014
DUX4L7	0	0	0.06	0	0	0.217	0.097	0	0.07	0
DUXA	0.193	0.318	0.345	1.022	0.953	0.261	0.172	0.661	0.703	0.235
DVL1	2.131	5.165	3.714	2.004	4.461	0.538	1.787	3.746	0.613	2.949
DVL2	1.69	2.265	3.505	1.684	1.737	0.406	1.282	2.63	0.483	3.112
DVL3	4.971	5.534	3.342	4.775	3.038	0.552	3.065	3.805	2.08	8.379
DYDC1	0	0	0.755	0.064	0	2.059	0.547	0.282	0.88	0.382
DYDC2	0.042	0	0.148	0	0.059	0.808	0.349	0.305	0.575	0.219
DYM	7.821	8.561	7.57	7.73	7.369	3.458	5.109	4.106	3.026	9.074
DYNAP	0.18	0	0.427	0.193	0.14	3.88	0.85	0.852	2.1	0.742
DYNC1H1	39.259	34.561	29.697	27.705	24.24	6.691	17.359	31.634	10.794	62.374
DYNC1I1	0.199	0.7	3.502	2.629	1.421	1.033	0.429	1.08	1.14	0.332
DYNC1I2	48.528	63.297	33.058	22.426	18.234	7.321	16.483	20.3	13.774	37.358
DYNC1LI1	7.917	11.688	4.606	2.418	9.94	1.675	2.608	8.252	2.594	8.223
DYNC1LI2	37.183	43.795	26.133	19.81	25.378	7.658	18.06	17.022	11.83	64.494
DYNC2H1	4.037	5.197	6.076	1.344	4.237	1.123	3.058	2.328	1.414	4.165
DYNC2LI1	12.797	26.129	12.944	5.921	12.373	2.705	7.979	3.508	2.89	14.726
DYNLL1	53.368	86.173	54.697	38.162	27.668	10.124	26.811	34.159	16.846	74.757
DYNLL2	14.567	29.565	13.64	5.165	12.649	5.397	7.414	12.903	6.255	31.424
DYNLRB1	40.281	58.005	32.27	18.606	44.151	14.798	20.286	28.985	12.099	44.745
DYNLRB2	0.733	0	0	0	0.115	0.703	0.105	0.109	0.225	0.271
DYNLT1	23.561	84.965	45.586	17.757	27.165	9.901	12.045	20.188	8.264	64.641
DYNLT3	36.46	34.475	23.117	10.731	19.842	4.574	12.047	195.091	5.004	34.989
DYRK1A	14.46	16.577	14.616	9.927	19.326	3.136	8.496	12.569	4.716	18.858
DYRK1B	1.835	2.2	2.161	1.483	0.786	0.138	1.133	0.532	0.751	3.694
DYRK2	8.743	14.266	22.564	7.12	6.14	5.647	3.333	11.703	2.782	15.64
DYRK3	0.34	2.356	1.02	0.41	0.504	0.696	0.555	0.716	0.693	1.033
DYRK4	2.434	2.921	1.875	1.482	1.451	2.463	1.416	0.146	1.336	1.68
DYSF	0.145	0.801	0.198	0.403	0.423	0.816	0.28	0.304	0.662	0.312
DYTN	0	0	0.375	0	0.028	0.937	0.229	0.105	0.819	0.12
DYX1C1	1.16	2.616	1.337	0.659	2.137	1.695	1.476	1.387	1.511	1.429
DZANK1	0.578	0.663	1.126	0.907	1.644	1.298	1.149	0.863	0.832	0.539
DZIP1	0.826	0.627	0.937	0.202	4.326	0.957	1.241	0.612	0.688	1.244
DZIP1L	1.221	0.657	0.172	0.362	1.486	0.849	0.334	1.339	0.831	0.408
DZIP3	3.628	6.084	3.26	3.031	4.871	1.861	2.357	2.327	1.92	3.975
E2F1	0.135	0.882	0.32	0.506	1.751	0.453	0.193	2.118	0.415	0.408
E2F2	0.078	0.29	0.518	0.433	0.417	0.438	0.091	0.696	0.302	0.246
E2F3	2.809	2.563	3.394	3.147	6.716	1.011	2.137	18.558	1.453	2.513
E2F4	8.246	7.341	6.087	7.673	5.533	1.664	4.975	3.134	3.413	12.029
E2F5	2.594	14.182	1.864	2.131	2.946	2.542	1.886	2.529	1.147	3.496
E2F6	2.447	3.095	1.78	1.809	2.479	1.456	2.048	2.847	2.109	5.607
E2F7	0.839	0.841	1.289	1.131	1.27	0.913	0.464	1.814	1.112	1.201
E2F8	2.232	2.021	1.767	6.113	3.816	1.761	0.579	2.365	1.862	2.8
E4F1	1.871	2.874	2.204	1.632	1.328	0.747	1.259	1.761	0.696	3.901
EAF1	5.102	12.316	3.919	3.83	5.812	2.103	2.538	12.07	2.346	8.335
EAF2	3.015	3.134	1.508	1.293	2.345	1.713	1.28	1.428	0.769	2.466
EAPP	21.94	43.609	21.389	10.831	7.352	4.019	11.2	9.926	4.736	21.721
EARS2	3.462	6.185	5.264	4.08	5.736	1.235	2.162	1.92	1.47	5.084
EBAG9	12.146	63.411	11.149	6.53	4.986	8.166	6.593	5.65	5.654	18.921
EBF1	0.176	0.796	0.219	0.287	0.324	0.762	0.258	0.205	0.934	0.268
EBF2	0	0.051	0.296	0.03	0.012	0.969	0.236	0.033	0.69	0.272
EBF3	0.11	0.398	0.087	0.033	0.026	0.475	0.083	0.11	0.33	0.193
EBF4	1.126	0.108	0.594	0.252	0.059	0.66	0.664	0.167	0.192	0.37
EBI3	0	0	0	0.515	0	0.307	0.046	0.047	0.197	0.059
EBLN1	0	0	0.246	0	0	0.299	0.134	0.046	0.766	0.154
EBNA1BP2	20.106	41.297	16.506	17.1	21.333	4.045	9.799	16.527	5.798	21.47
EBP	5.49	12.35	5.233	5.782	9.353	2.568	2.754	11.192	2.226	6.113
EBPL	8.977	10.189	7.37	14.23	5.008	4.289	4.006	1.379	1.947	10.332
ECD	10.409	15.426	9.627	9.386	12.752	4.115	7.246	4.85	5.658	16.254
ECE1	2.094	6.554	2.63	3.149	2.075	0.853	2.786	3.216	1.386	1.906
ECE2	0.065	0.259	0.353	0.19	0.131	0.721	0.132	0.136	0.282	0.185
ECEL1	0.127	0	0	0	0.04	0.183	0.219	0.132	0.196	0.031
ECH1	7.592	11.76	12.556	7.075	4.419	2.629	5.377	4.742	3.636	11.254
ECHDC1	29.578	22.227	23.595	15.276	13.411	5.555	9.723	4.174	6.792	29
ECHDC2	4.02	2.247	2.962	5.037	5.015	0.879	2.694	0.882	1.409	1.779
ECHDC3	0.073	0.189	0.058	0.059	0	0.317	0.726	1.566	0.406	0.054
ECHS1	19.727	67.387	33.121	24.875	17.143	6.97	16.706	14.98	11.124	32.237
ECI1	2.348	9.839	3.932	1.812	1.68	0.333	1.342	2.413	0.639	4.358
ECI2	12.337	7.928	6.527	1.333	3.602	1.745	6.887	1.832	1.715	6.114
ECM1	0.345	1.124	0.388	0.35	0.128	0.313	0.656	0.58	0.552	0.654
ECM2	0.447	0.821	0.173	0.251	0.585	0.224	0.47	0.346	0.863	0.415
ECSCR (NC_000005 138784244..138784863)	0.989	3.342	0.214	0.543	0.759	0.777	0.813	1.199	1.493	0.449
ECSCR (NC_000005 138837128..138842320)	0.715	3.543	0.679	0	1.61	0.618	0.738	0.572	0.792	0.476
ECSIT	2.402	5.65	3.276	3.382	3.444	0.673	1.895	0.949	0.8	3.024
ECT2	5.547	14.247	7.454	7.52	13.707	2.757	2.635	16.557	3.211	14.027
ECT2L	0.063	0.084	0.214	0.054	0.076	0.936	0.303	0.397	0.55	0.18
EDA	0.181	0.169	0.466	0.026	0.01	0.314	0.309	0.678	0.301	0.214
EDA2R	1.545	0.838	1.339	2.3	0.286	0.925	0.961	0.331	0.78	1.277
EDAR	0.173	0.55	0.114	0	0	0.539	0.26	0.051	0.478	0.346
EDARADD	8.261	15.663	12.519	16.315	3.681	2.665	6.718	1.145	5.457	20.475
EDC3	1.462	1.556	1.653	2.316	1.666	0.687	1.066	1.962	1.101	2.08
EDC4	4.81	4.82	3.017	4.08	3.339	1.526	2.497	2.837	1.35	7.02
EDDM3A	0	0.071	0	0	0	0.795	0.119	0.184	0.892	0.077
EDDM3B	0	0	0.107	0	0	0.975	0.058	0.301	0.5	0.075
EDEM1	7.871	17.875	4.374	6.135	5.1	1.875	4.364	5.252	2.73	11.74
EDEM2	4.695	6.978	4.471	4.697	9.14	1.37	3.495	4.654	1.756	4.613
EDEM3	10.993	31.411	22.216	9.41	7.077	3.479	6.822	20.346	3.901	25.657
EDF1	78.748	134.108	31.911	46.661	35.812	13.479	32.847	24.755	10.102	42.003
EDIL3	1.401	4.172	24.916	0.312	0.517	0.529	1.317	0.907	0.979	1.593
EDN1	0.501	5.7	0.732	0.256	0.353	0.666	0.249	2.518	1.387	0.235
EDN2	0.13	0.454	1.005	0.039	0	0.141	0.168	0.13	0.811	0.09
EDN3	0	0	0.253	0	0	0.329	0.059	0.101	0.295	0.11
EDNRA	0.175	1.586	0.278	0.341	0.865	0.632	0.277	0.351	0.621	0.557
EDNRB	0.891	4.1	0.494	0.542	0.504	0.935	0.849	1.199	0.968	1.7
EEA1	14.752	20.196	13.979	11.178	10.754	7.884	6.573	8.717	4.884	23.588
EED	8.219	8.997	10.219	8.041	5.868	1.446	4.69	7.567	2.549	8.603
EEF1A1	3325.83	5214.006	3438.574	1705.686	1068.221	666.433	1519.615	287.982	622.475	1848.934
EEF1A2	23.545	7.682	16.138	3.479	1.816	0.958	6.846	0.161	4.52	25.99
EEF1B2	416.499	752.221	222.87	77.03	116.786	45.031	181.29	67.611	65.687	261.867
EEF1D	45.695	265.539	42.337	20.954	28.046	12.776	23.525	7.103	12.511	36.46
EEF1E1	7.182	23.407	6.099	5.099	17.704	3.229	3.734	3.727	2.789	11.831
EEF1G	457.086	730.618	421.12	271.969	90.434	44.658	151.458	65.669	51.048	398.909
EEF2	312.096	449.89	364.048	250.759	128.593	43.831	141.322	54.533	58.199	203.441
EEF2K	3.248	4.202	2.619	2.938	5.487	0.99	1.424	3.829	0.997	3.126
EEFSEC	0.621	0.848	0.694	1.08	0.797	0.394	0.424	0.803	0.455	0.466
EEPD1	0.268	0.936	0.185	0.042	0.207	0.559	0.234	0.437	0.358	0.695
EFCAB1	0.408	0.05	0.74	0.052	0.061	1.393	0.333	0.401	0.833	0.37
EFCAB11	7.684	20.199	8.712	5.129	5.737	3.018	5.863	4.658	3.223	7.496
EFCAB12	0.075	0	0.134	0	0	0.893	0.121	0.075	0.468	0.104
EFCAB13	7.127	5.92	2.331	2.784	1.903	1.301	2.012	2.055	1.668	1.065
EFCAB2	1.379	0.813	1.944	0.268	1.102	0.96	0.666	0.534	1.083	0.987
EFCAB3	0.415	0.536	2.793	3.45	0.941	1.394	0.655	0.738	1.468	0.601
EFCAB4A	0.467	1.067	6.601	1.207	0.532	0.768	0.746	0.237	1.046	0.851
EFCAB4B	4.661	2.142	1.529	4.561	1.275	2.06	1.724	0.318	0.99	6.014
EFCAB5	0.217	0.227	0.273	0.085	0.063	0.8	0.338	0.247	0.866	0.216
EFCAB6	0.689	0.75	0.994	0.04	0.289	0.922	0.774	0.164	0.909	0.838
EFCAB7	3.307	4.088	4.193	2.606	5.621	1.554	1.859	1.44	1.423	3.3
EFCAB8	0.03	0.046	0.187	0.059	0.028	0.382	0.152	0.118	0.599	0.115
EFCAB9	0	0	0	0	0	0.745	0.148	0.077	0.318	0.032
EFEMP1	0.693	1.864	0.186	0.41	0.184	0.791	0.507	0.523	0.615	0.602
EFEMP2	1.585	2.061	1.72	0.826	0.633	0.338	0.581	0.574	0.542	1.412
EFHA1	19.36	34.983	17.75	16.42	11.374	4.069	12.243	11.555	4.809	19.852
EFHA2	0.122	0.299	0.096	0.061	0.2	0.614	1.743	0.135	0.534	0.349
EFHB	0.057	0.307	0.269	0	0.219	1.346	0.274	2.512	1.058	0.495
EFHC1	0.953	1.064	1.965	1.286	1.283	1.241	1.421	1.439	1.125	1.786
EFHC2	0.062	0.116	0.177	0	0	0.537	0.225	0.581	0.448	0.145
EFHD1	0.019	0.178	0	0.232	0.054	0.249	0.124	0.205	0.372	0.085
EFHD2	7.058	21.063	8.582	7.348	9.983	3.468	6.392	6.825	4.769	18.834
EFNA1	1.292	9.084	10.372	3.305	2.655	2.567	2.135	8.923	1.287	10.066
EFNA2	0	0.117	0.09	0	0	0.082	0.049	0	0	0.231
EFNA3	0.159	0.774	1.51	0.11	0.064	0.196	0.41	0.969	0.126	0.466
