Feature.ID	ST3_RPKM_fwd_RNA.Seq	SB3_RPKM_fwd_RNA.Seq	SC3_RPKM_fwd_RNA.Seq	SL3_RPKM_fwd_RNA.Seq	SC4_RPKM_fwd_RNA.Seq	SL4_RPKM_fwd_RNA.Seq	ST4_RPKM_fwd_RNA.Seq	SB4_RPKM_fwd_RNA.Seq	SC2_RPKM_fwd_RNA.Seq	SL2_RPKM_fwd_RNA.Seq	SB2_RPKM_fwd_RNA.Seq	ST2_RPKM_fwd_RNA.Seq	SC1_RPKM_fwd_RNA.Seq	SL1_RPKM_fwd_RNA.Seq	SB1_RPKM_fwd_RNA.Seq	ST1_RPKM_fwd_RNA.Seq
ATP2B3	0.147	0.015	0	0.019	0	0.015	0	0	0	0	0	0	0	0.059	0	0
ATP2B4	3.813	12.268	6.873	5.061	4.829	4.091	3.401	4.804	6.811	3.566	3.475	9.055	6.719	2.206	19.95	7.884
ATP2C1	2.947	6.365	6.085	3.241	9.119	1.199	3.014	1.387	5.192	3.618	10.119	6.256	9	2.08	20.739	6.118
ATP2C2	0.541	1.023	2.193	0.038	2.761	0	0.25	1.683	2.891	0.247	0.212	0.173	1.547	0.286	0.256	0.272
ATP4A	0.091	0	0.019	0.072	0	0	0.072	0	0.009075	0	0	0	0	0.163	0	0
ATP4B	0.215	0	0.045	0	0.062	0	0	0	0	0	0	0.026	0.041	0.065	0	0
ATP5A1	6.03	13.024	13.775	25.272	10.233	10.262	5.285	0.469	25.714	11.031	27.214	18.986	22.777	10.581	23.037	19.879
ATP5B	7.301	16.995	30.123	35.892	5.925	8.831	4.09	1.67	35.506	16.576	28.958	14.432	23.728	11.783	24.037	16.118
ATP5C1	6.095	12.33	24.862	16.074	8.222	1.338	5.541	0.794	30.161	16.04	18.095	13.691	20.373	9.121	30.468	15.466
ATP5D	0.54	1.714	1.573	4.68	1.161	4.435	0.923	0.343	6.842	10.925	1.276	0.901	1.04	1.071	4.934	1.327
ATP5E	27.218	40.477	96.513	58.905	85.579	20.669	20.939	2.596	174.884	172.546	85.452	71.248	105.856	25.396	124.615	65.05
ATP5F1	4.07	7.425	6.149	6.759	8.637	4.356	3.093	10.288	14.776	1.78	13.394	9.179	7.628	2.886	11.544	9.042
ATP5G1	1.997	1.784	3.158	3.849	3.075	2.671	1.25	0.705	8.786	0.647	6.404	2.893	2.73	0.749	7.986	2.575
ATP5G2	3.011	4.446	10.903	5.209	8.376	8.692	3.543	0.974	15.033	3.902	10.088	5.424	6.815	3.691	8.198	4.866
ATP5G3	1.669	1.903	2.758	3.117	3.149	1.172	1.299	0.229	5.204	1.322	3.713	2.195	3.166	1.698	2.262	2.822
ATP5H	5.884	17.351	15.441	32.131	35.333	11.424	4.197	4.947	62.157	4.037	41.658	14.735	22.032	9.04	35.436	12.194
ATP5I	2.949	14.715	17.916	19.243	7.099	16.442	3.627	0.625	32.387	37.837	12.261	8.868	5.006	5.578	16.631	9.603
ATP5J	3.156	5.229	4.941	7.686	5.177	5.557	1.731	4.397	13.607	5.49	12.576	3.25	4.606	3.815	4.712	4.168
ATP5J2	3.581	7.957	21.062	14.994	14.849	3.382	3.454	8.252	33.753	26.207	23.137	7.785	20.5	5.692	22.133	9.558
ATP5J2-PTCD1	0.292	0.353	0.898	0.323	0.936	0.113	0.405	0.782	0.443	0.076	0.968	0.451	0.649	0.14	1.86	0.363
ATP5L	4.344	5.852	11.557	6.633	7.919	5.956	5.221	0.17	26.94	10.634	11.355	10.143	6.873	3.333	6.859	10.092
ATP5O	4.541	9.342	8.282	11.011	6.487	1.072	3.923	0.424	34.743	11.423	34.753	8.468	13.602	4.21	10.042	12.404
ATP5S	0.746	0.765	0.755	0.973	0.256	0	1.189	0.421	2.089	0	0.893	1.513	1.041	0.582	2.186	1.619
ATP5SL	0.412	1.702	2.942	1.676	1.062	2.441	1.045	0	3.532	0.458	1.571	0.981	1.598	0.636	2.153	1.037
ATP6AP1	1.026	2.87	5.03	2.494	1.587	2.036	1.069	3.041	6.663	1.396	6.896	1.821	5.716	0.693	6.662	1.807
ATP6AP1L	0.284	0.132	0.359	0.253	0	0	0.582	0	0.298	0	0.292	0.154	0.402	0.512	0.238	0
ATP6AP2	3.171	7.787	11.035	6.112	6.905	4.195	1.282	0.224	14.54	3.082	19.338	6.567	11.033	2.38	13.499	7.983
ATP6V0A1	1.811	3.426	4.911	5.616	1.835	1.731	1.582	6.409	3.912	2.816	4.687	3.412	4.406	1.421	5.688	2.789
ATP6V0A2	1.629	1.627	1.937	1.054	0.962	0.763	2.136	2.753	0.997	0	2.246	2.838	1.741	0.682	2.706	2.749
ATP6V0A4	0.353	0.12	0.041	0.057	0.289	0	0.055	2.309	0.019	0	0	0.627	0.018	0.52	0.517	0.616
ATP6V0B	1.159	1.67	5.532	3.936	0.951	1.644	1.007	2.788	10.398	6.552	5.298	2.633	4.172	2.087	12.94	3.092
ATP6V0C	1.661	4.241	4.925	4.564	8.795	6.045	2.688	3.611	10.311	4.76	4.757	1.584	3.068	1.024	6.81	1.494
ATP6V0D1	1.096	2.164	4.405	2.409	0.859	0.776	0.859	0.614	4.1	1.253	3.308	2.335	2.261	1.161	7.01	1.927
ATP6V0D2	0.454	0.042	0.086	0	0.039	0	0.093	0	0.027	0	0.023	0.033	0.334	0.368	0.107	0.024
ATP6V0E1	10.374	13.829	25.795	17.302	9.285	7.076	5.169	0.646	35.375	0.949	26.183	18.881	29.693	6.155	37.567	18.827
ATP6V0E2	0.474	0.074	0.849	2.482	0.153	0.405	0.553	0	0.995	0	1.601	0.872	0.782	0.889	0.345	0.632
ATP6V1A	2.883	6.896	9.937	6.339	4.533	4.254	2.354	2.754	7.63	7.198	8.252	6.275	9.388	3.124	12.933	7.431
ATP6V1B1	0.278	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.652	0
ATP6V1B2	2.617	4.98	6.288	3.734	2.538	2.129	2.512	2.958	5.571	5.362	6.897	6.278	7.163	2.866	12.298	6.456
ATP6V1C1	2.038	2.675	6.401	2.261	4.867	3.661	1.605	0.879	3.007	0.147	5.608	4.431	6.428	1.139	15.248	4.442
ATP6V1C2	0.831	1.968	0.946	0.118	0.728	0.015	0.329	0.106	0.449	0.258	0.205	0.397	0.376	0.329	1.182	0.621
ATP6V1D	1.192	5.698	2.414	1.662	2.511	1.808	1.201	0.063	4.185	0.695	1.438	2.591	3.608	0.859	11.324	2.641
ATP6V1E1	3.062	7.819	8.478	3.815	7.832	2.424	2.406	0.162	17.666	2.977	5.619	6.491	6.584	2.206	16.088	6.13
ATP6V1E2	0.218	0.127	0.379	0.194	0.304	0	0.093	0	0	0	0.754	0.453	0.185	0.294	0.456	0.203
ATP6V1F	2.372	5.284	5.92	2.657	5.776	2.351	1.62	0.279	14.39	0	6.627	2.769	4.622	0.712	11.101	2.321
ATP6V1G1	4.41	8.724	12.262	5.945	6.893	8.464	4.04	0.212	16.921	0.52	11.043	10.41	15.5	3.25	18.908	10.236
ATP6V1G2	0.403	0.063	0.212	0.08	0.144	0.03	0.092	0	0	0	0.241	0.316	0.038	0.423	0.158	0.108
ATP6V1G3	0.635	0	0	0.094	0	0	0.108	0	0.048	0	0.081	0.115	0	0.429	0	0.085
ATP6V1H	1.146	2.457	4.089	1.142	3.191	0.797	0.642	0.34	2.709	4.098	2.046	2.806	4.719	1.032	4.769	2.25
ATP7A	1.598	1.768	1.292	0.278	0.998	0.385	1.035	1.517	0.982	0.049	2.304	2.601	2.59	0.457	2.507	2.491
ATP7B	0.454	0.219	2.595	2.153	0.92	0.73	0.033	0.017	0.374	1.323	0.108	0.059	0.871	1.284	1.447	0.225
ATP8A1	3.496	1.191	3.363	0.283	1.957	0.414	5.663	1.707	1.618	0.702	1.669	7.792	2.964	0.848	0.546	6.583
ATP8A2	0.366	0	0.082	0.013	0.203	0	0.037	0	0.174	0	0.011	0.07	0.036	0.91	0.036	0.08
ATP8B1	0.961	4.937	8.81	3.624	19.028	0.574	0.378	0.768	6.239	2.608	10.579	1.563	15.919	1.502	15.59	1.78
ATP8B2	2.271	3.743	1.059	0.415	0.903	0.96	1.972	0.235	2.496	0.332	1.297	4.56	1.015	0.508	1.662	4.075
ATP8B3	0.02	0.086	0.013	0.049	0	0.037	0.056	0.022	0.018	0	0.074	0.059	0.023	0.074	0.11	0.022
ATP8B4	1.138	0.69	0.324	0.371	0.179	1.81	0.415	3.734	0.535	0.737	0.973	0.9	0.558	1.093	0.611	1.549
ATP9A	1.037	3.549	19.114	4.473	16.7	1.691	0.456	1.308	6.387	4.03	4.643	1.23	13.804	1.739	8.609	1.357
ATP9B	2.174	2.995	1.219	1.26	0.892	0.826	2.16	0.183	1.075	1.152	2.751	4.636	3.117	1.313	2.089	3.955
ATPAF1	2.201	2.682	5.033	7.151	4.02	2.119	1.367	0.212	6.829	3.306	7.394	3.552	2.972	4.1	7.455	2.937
ATPAF2	0.624	0.906	1.712	1.563	0.566	1.175	1.54	0.294	2.102	0.539	1.317	1.809	0.863	1.187	5.355	2.11
ATPBD4	0.956	0.594	0.555	0.488	0.148	1.019	0.689	0.028	0.853	0	1.813	1.241	1.187	0.742	1.186	1.191
ATPIF1	2.349	2.295	2.265	3.549	3.774	4.838	2.33	2.368	6.896	3.261	10.705	3.606	2.974	1.863	4.317	2.925
ATR	3.04	2.756	2.79	2.917	2.019	1.897	2.527	0.124	1.977	0.609	5.437	6.003	4.318	1.304	7.817	4.868
ATRAID	1.617	3.303	6.139	2.466	2.118	1.82	1.447	1.549	12.453	2.095	7.351	5.998	6.84	2.219	17.731	3.905
ATRIP	0.585	0.61	0.479	0.286	1.051	0.845	0.365	0	0.289	0	1.131	0.798	0.351	0.372	0.636	0.735
ATRN	1.332	2.949	3.378	9.427	2.824	3.53	1.179	0.561	3.204	8.867	5.714	2.497	2.811	4.575	5.699	2.284
ATRNL1	0.468	0.437	0.172	0.168	0.064	0.786	0.101	0.052	0.052	0.048	0.076	0.326	0.453	0.477	0	0.336
ATRX	4.784	6.957	6.499	2.301	16.664	5.426	7.164	1.335	4.725	1.609	9.154	11.019	6.709	1.404	12.242	9.715
ATXN1	1.761	4.88	2.991	1.585	2.845	1.828	1.293	2.304	3.346	1.062	1.906	3.153	2.995	1.294	4.019	2.685
ATXN10	2.651	5.803	3.518	5.867	2.223	5.32	2.363	0.205	5.635	6.409	6.238	5.223	4.243	2.446	7.216	5.073
ATXN1L	1.174	2.661	3.55	1.757	3.426	1.041	1.744	0.824	1.888	1.698	3.538	2.512	3.259	1.008	5.31	2.674
ATXN2	2.221	4.526	4.607	3.313	4.733	4.094	3.034	2.109	3.723	1.424	3.678	3.492	4.857	1.856	5.533	3.458
ATXN2L	2.513	6.951	5.311	3.792	9.029	6.921	5.767	5.347	6.977	3.51	6.787	4.278	4.735	1.362	10.581	4.037
ATXN3	2.535	3.393	2.017	1.651	3.669	1.976	2.257	0.642	5.519	3.869	2.578	4.507	3.51	1.274	5.402	3.818
ATXN3L	0.368	0	0.039	0.036	0	0	0	0	0	0	0	0	0	0.111	0	0
ATXN7	3.404	4.762	3.602	2.503	4.291	2.265	4.71	1.287	2.21	0.667	5.359	5.773	2.614	1.404	3.265	5.703
ATXN7L1	1.156	1.227	0.741	0.28	2.497	1.35	1.397	0.853	0.292	0	0.968	2.165	0.86	0.507	0.837	1.664
ATXN7L2	0.316	0.357	0	0.187	0.233	0	0.231	0.095	0	0	0.116	0.196	0.255	0.244	0.091	0.12
ATXN7L3	1.191	3.083	2.808	1.431	1.549	1.793	1.882	3.532	2.565	1.042	5.06	2.417	2.545	0.778	11.238	2.226
ATXN7L3B	4.064	6.407	7.733	5.601	4.411	3.377	4.644	3.374	8.07	9.434	17.151	10.105	13.365	3.897	8.204	9.301
AUH	1.152	1.517	3.517	2.091	3.176	1.995	0.417	4.019	1.159	0	1.6	1.866	3.605	1.587	2.548	2.099
AUNIP	0.783	0.292	0.331	0.124	0.561	0	0.232	0.111	0.063	0	1.85	0.17	0.059	0.8	1.315	0.223
AUP1	2.552	6.858	9.901	9.48	5.657	3.923	4.61	3.342	10.84	11.226	11.167	6.447	8.777	4.536	22.541	4.409
AURKA	1.057	0.552	3.931	0.15	3.07	0.019	1.27	0.626	3.335	0	3.232	1.271	2.367	1.066	6.341	1.489
AURKAIP1	1.502	1.794	4.81	7.459	1.412	4.981	1.058	0.397	6.195	6.932	4.239	1.666	1.858	1.521	15.027	1.353
AURKB	0.996	0.31	2.048	0.148	0.642	0	2.098	0.088	0.374	0	1.959	1.052	0.657	0.673	8.525	0.797
AURKC	0.579	0.27	0.209	0.098	0.036	0	0.254	0	0.074	0	0.127	0.27	0.14	0.298	0.278	0.044
AUTS2	1.242	2.385	3.92	4.842	7.51	2.483	1.064	1.367	1.728	1.192	1.035	1.286	3.241	0.697	0.363	1.326
AVEN	0.562	1.836	1.157	1.752	2.357	2.195	0.432	0.074	3.207	0	1.66	1.019	1.114	0.443	3.281	1.051
AVIL	0.683	0.587	0.637	0.192	0.803	0.064	0.295	0	0.119	0.419	0.387	0.885	0.732	1.101	0.917	0.403
AVL9	2.425	2.645	13.259	2.578	8.73	2.326	1.735	3.487	6.548	1.067	4.085	5.436	5.902	2.225	12.085	4.737
AVPI1	0.309	4.688	2.349	1.972	1.363	0.552	0.132	0	1.879	0.301	0.635	0.168	0.525	0.766	1.402	0.206
AVPR1A	0.44	0.827	0.252	11.945	0.024	1.269	0.127	2.285	0.639	1.71	0.205	0.184	1.937	3.962	0.443	0.301
AVPR1B	0.061	0	0.077	0.036	0	0	0.145	0	0	0	0	0	0	0.055	0	0
AVPR2	0	0.029	0	0	0	0	0.042	0	0.037	0	0.032	0.023	0	0.056	0	0
AWAT1	0.077	0.072	0	0.091	0.033	0	0	0	0	0	0.039	0.028	0	0.069	0	0.041
AWAT2	0.203	0	0	0.06	0	0	0.052	0	0	0	0	0	0	0.183	0.017	0
AXDND1	1.064	0	0.243	0.053	0.33	0	0.03	0	0.213	0	0.061	0.021	0.151	0.612	0.03	0.047
AXIN1	0.735	1.138	1.303	1.169	3.363	1.351	0.884	1.277	1.906	0.686	2.34	1.215	2.43	0.503	5.331	1.193
AXIN2	0.483	1.624	11.085	0.332	14.72	0.952	0.33	1.454	6.942	0.099	0.692	0.534	1.971	0.389	0.597	0.841
AXL	0.636	3.868	2.272	1.51	0.85	2.291	0.334	0.217	6.812	0.442	1.26	0.897	2.276	1.003	21.038	0.995
AZGP1	5.021	0.436	3.285	211.792	12.18	78.979	0.494	5.766	9.805	121.414	0.175	0.771	54.357	107.218	0.057	0.954
AZI1	0.297	0.624	0.169	0.176	0.332	1.008	0.528	0.472	1.187	0	1.084	0.571	0.454	0.107	1.438	0.445
AZI2	1.792	3.972	2.528	1.707	2.5	3.236	1.535	0.684	4.063	0	3.12	3.618	2.941	1.376	7.384	3.637
AZIN1	5.769	11.614	14.413	10.074	19.186	9.86	6.571	0.708	18.965	3.946	24.994	14.719	23.477	6.466	61.596	13.717
AZU1	0	0	0	0	0	0	0.121	0	0	0	0	0	0	0.106	0	0
B2M	191.517	275.287	226.369	178.484	154.085	224.045	160.339	56.813	521.886	245.925	529.922	560.063	399.433	127.103	1536.197	543.211
B3GALNT1	0.798	0.965	0.58	0.088	0.292	0.079	0.586	0.031	0.701	0	1.593	0.814	0.385	0.453	2.6	1.057
B3GALNT2	0.707	4.371	2.006	1.19	1.666	0.407	1.067	0.048	2.566	1.685	6.075	2.148	2.787	0.76	4.302	2.216
B3GALT1	0.497	0.093	0.094	0	0	0	0	0	0.104	0	0	0	0	0.134	0	0
B3GALT2	0.364	0.198	0.154	0.072	0.509	0.298	0.052	0	0.355	0	0.062	0.407	0.137	0.246	0.224	0.389
B3GALT4	0.638	0.506	0.525	0	0.329	0	0.545	0	0.421	0	0.885	0.879	0.325	0	5.615	0.511
B3GALT5	0.3	0.052	0.285	0.022	0.467	0	0.512	5.677	0	0	0.135	0.571	0.997	0.304	0	0.981
B3GALT6	0.385	0.899	1.049	0.754	0.58	0	0.553	0.041	1.295	0	0.91	0.936	0.916	0.278	2.432	0.905
B3GALTL	0.741	1.167	1.487	0.348	0.637	0.421	0.872	0.054	1.157	0	0.747	1.147	2.225	0.736	4.921	1.186
B3GAT1	0.177	0.082	0.019	0.541	0.013	0.263	0.141	0.281	0	0	1.103	0.085	0.133	0.663	0.089	0.079
B3GAT2	0.112	0	0	0	0.288	0	0	0	0	0	0.029	0.02	0	0.201	0	0
B3GAT3	0.525	0.612	0.623	1.012	0.536	3.335	0.986	0.278	1.968	1.53	1.01	0.523	0.408	0.177	2.84	0.84
B3GNT1	0.364	0.461	0.592	1.203	0.581	0.116	0.018	0	0.921	0.809	0.48	0.565	0.588	0.656	2.025	0.222
B3GNT2	1.762	3.561	4.584	1.44	2.491	0.367	1.364	0.58	2.996	3.654	6.391	3.958	6.691	1.516	11.146	3.825
B3GNT3	0.198	0.701	6.06	0.117	7.604	0.018	0.095	0.796	4.002	0.154	4.245	0.516	5.038	0.071	10.641	0.634
B3GNT4	0.072	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0.36	0
B3GNT5	0.992	17.422	5.188	0.248	8.001	0.78	0.526	0.111	1.716	1.523	5.36	1.305	7.268	0.494	10.648	2.731
B3GNT6	0	0.04	0.054	0	0.221	0	0.029	0	0.013	0	0	0.016	0	0.077	0.014	0.023
B3GNT7	0.505	0.305	0.733	0.299	1.161	0.371	0.193	0.629	0.071	2.078	0.488	0.28	1.731	0.615	0.967	0.206
B3GNT8	0.057	0.214	0.218	0	0	0	0.02	0	0.172	0	0.029	0.021	0.033	0	0.019	0.061
B3GNT9	0.358	1.392	0.881	0.142	0.291	0.16	0.258	5.056	0.239	0	0.776	0.505	0.315	0.072	4.689	0.446
B3GNTL1	0.311	0.363	0.148	0.092	0.234	0	0.266	4.12	0	1.816	0.559	0.338	1.057	0.35	1.437	0.374
B4GALNT1	0.107	0.033	0.091	0.064	0	0.112	0	3.559	0.311	0	0.055	0.065	0.04	0.129	0.54	0.057
B4GALNT2	0.153	0	0.032	0	0	0	0.052	0	0.015	0	1.362	0.037	0	0.184	0	0
B4GALNT3	0.219	3.621	2.417	0.019	1.924	0.112	0.139	1.89	0.939	0.122	0.048	0.25	0.443	0.141	0.357	0.217
B4GALNT4	0.031	0.276	0.138	0.074	0.844	0	0.096	0.099	0	0	1.056	0.09	0.018	0.056	0.094	0.017
B4GALT1	3.41	15.636	9.247	17.244	8.319	15.241	3.336	5.971	9.323	11.761	9.539	7.402	14.055	6.765	42.303	8.292
B4GALT2	0.355	1.387	1.32	1.448	0.725	0.733	0.243	0.752	1.758	0.518	1.025	0.241	0.779	0.12	5.454	0.332
B4GALT3	1.203	1.372	2.369	1.401	1.092	0.08	1.218	5.474	4.173	1.56	11.187	2.261	2.345	0.763	4.1	1.523
B4GALT4	1.745	3.169	5.086	2.07	6.139	2.56	1.678	0.194	3.183	0.536	22.156	3.095	5.067	1.117	8.432	2.696
B4GALT5	1.025	2.845	9.523	16.57	3.973	5.382	1.058	3.736	3.183	7.612	2.664	2.202	11.246	3.322	11.341	2.297
B4GALT6	0.335	0.365	1.288	0.332	1.326	0.598	0.107	0	0.208	0.087	1.756	0.3	3.669	0.443	0.023	0.477
B4GALT7	0.374	0.755	0.985	0.443	0.615	0.389	0.17	2.9	2.914	0	0.959	0.88	1.127	0.393	1.923	0.532
B9D1	0.061	0.057	0.422	0.324	0.078	0.027	0.124	0	0.273	0	0.436	0.22	0.377	0.218	0.692	0.129
B9D2	0.104	0.195	0.264	0.186	0.269	0	0	0	1.034	4.059	0.214	0.076	0.118	0	0	0.223
BAALC	0.491	0.141	0.048	0.134	0.357	0.455	0.155	0.04	0.93	0	0.058	0.287	0.299	0.715	0.33	0.141
BAAT	1.159	0.028	1.352	41.427	0.761	10.492	0.354	3.069	0.156	17.556	0.141	0.111	8.58	44.352	0.051	0.081
BABAM1	2.671	2.179	4.366	4.048	2.105	1.323	1.749	0.157	10.774	0.577	6.092	3.172	3.61	1.871	9.04	3.643
BACE1	0.84	3.143	1.663	3.193	2.39	2.257	0.415	2.064	2.608	0.834	0.725	0.81	1.406	2.061	1.657	0.897
BACE2	1.367	2.298	9.013	0.256	4.653	1.251	1.143	0.838	7.252	0.28	6.811	2.007	5.576	0.324	5.843	2.438
BACH1	2.902	9.644	6.76	7.74	4.989	4.789	2.626	0.881	8.646	3.234	7.883	6.12	8.743	3.895	10.367	6.462
BACH2	2.355	0.503	0.22	1.238	0.14	0.46	3.824	0.037	0.251	1.308	0.125	3.803	0.394	0.501	0.187	3.455
BAD	0.264	0.492	0.835	0.73	0.378	1.02	0.18	1.21	0.712	5.129	0.677	0.478	0.498	0.079	4.074	0.563
BAG1	1.279	6.014	3.289	2.836	11.588	1.773	1.187	2.295	4.728	1.081	4.08	2.115	3.538	1.026	4.021	2.359
BAG2	1.101	4.156	1.493	1.213	0.09	2.035	0.555	0.056	2.596	2.038	0.457	1.197	1.038	0.85	6.195	1.259
BAG3	1.089	6.072	3.815	3.229	3.761	4.426	0.744	0.488	5.44	1.628	3.352	1.957	5.117	1.697	6.001	2.503
BAG4	2.58	3.463	5.081	2.289	3.006	2.463	2.422	1.2	4.269	2.812	4.455	4.281	4.011	2.888	4.929	4.466
BAG5	1.762	4.194	3.436	2.078	4.28	2.431	2.764	0.456	2.6	4.062	3.386	4.365	6.202	0.96	10.433	4.035
BAG6	2.2	4.142	8.216	4.64	4.985	4.034	2.468	3.163	6.708	4.963	5.381	4.025	5.671	2.789	25.484	3.77
BAGE2	2.96	0.027	0.54	0.371	0.661	0.203	0.525	0	0.956	0	22.146	0	0.741	2.922	2.236	0
BAHCC1	0.148	0.479	0.107	0.232	0.255	0.699	0.159	0.403	0.464	1.234	0.179	0.153	0.162	0.086	0.639	0.192
BAHD1	0.571	0.81	1.038	1.961	1.728	0.668	0.869	0.932	0.621	0.74	2.527	1.068	1.292	0.536	2.012	0.889
BAI1	0.156	0.118	0.012	0.035	0.042	0.061	0.073	0	0.111	0	0.02	0.085	0.033	0	0.006536	0.042
BAI2	0.08	0.371	0.013	0.012	0	0	0.034	0	0.191	0	0.52	0.043	0.067	0.125	0.06	0.032
BAI3	0.84	0.232	0.109	0.102	0.32	0.622	0.091	0.384	0.986	0	0.147	0.214	0.13	0.757	0.026	0.204
BAIAP2	0.528	4.069	0.111	0.991	0.699	1.402	0.451	0.675	0.613	0.427	1.027	0.565	1.219	0.376	1.343	0.845
BAIAP2L1	0.645	3.214	6.589	4.523	12.115	1.217	0.581	1.335	2.605	1.026	6.067	0.638	10.223	1.162	11.155	0.642
BAIAP2L2	0.151	0.234	1.842	0.03	2.394	0.201	0.086	0	0.632	0	0	0.091	1.562	0.181	0	0.027
BAIAP3	0.064	0.06	0.108	0.165	0.313	0.086	0.132	0.068	0.199	0	0.055	0.132	0.291	0.135	0.424	0.171
BAK1	0.393	0.984	1.305	0.291	1.392	0.131	1.358	0.987	1.105	1.336	3.074	0.889	1.889	0.088	4.317	1.258
BAMBI	0.5	0.961	0.869	2.778	0.322	0.585	0.064	0.132	1.911	0.243	32.848	0.136	2.155	0.562	1.111	0.267
BANF1	0.654	1.525	1.951	2.439	2.169	2	1.372	0	6.168	2.906	2.542	0.609	1.216	0.842	4.862	0.599
BANF2	0.336	0.157	0	0	0	0	0	0	0	0	0	0	0	0.151	0	0.09
BANK1	9.5	0.451	0.096	0.072	0.234	0.756	11.554	0.032	0.336	0.353	0.932	23.786	0.377	0.845	0.569	16.359
BANP	0.639	0.745	1.238	1.184	0.36	2.012	0.927	0.085	1.258	0	0.943	1.432	1.084	0.216	1.836	1.279
BAP1	0.961	2.716	2.755	2.6	1.871	1.928	1.682	0.318	2.072	1.051	2.759	1.936	1.58	1.109	7.096	1.715
BARD1	2.354	2.503	1.62	0.343	1.189	0.976	1.622	0.087	1.115	0	6.273	3.201	1.378	0.893	3.964	3.108
BARHL1	0	0	0	0	0	0	0	0	0.034	0.219	0	0	0	0.051	0	0
BARHL2	0.072	0	0.046	0	0	0.032	0	0	0	0	0	0	0	0.065	0	0
BARX1	0.145	0	0	0	0.031	0	0.025	0	0	0	0.037	0.132	0	0.131	0.049	0.039
BARX2	0.67	4.602	0.347	0.145	0.236	0.027	0.333	5.676	0	0.237	0.281	1.324	0.414	0.11	0.102	0.943
BASP1	4.912	6.173	2.843	2.061	1.107	0.882	10.681	0.127	10.605	2.329	23.858	9.571	2.101	1.133	4.866	9.88
BATF	0.915	0.32	0.29	0	0.098	0.204	1.876	0	0.584	2.224	1.292	1.533	0.777	0.103	3.84	1.404
BATF2	0	0.211	0.541	0.149	1.405	0	0.189	0.16	0.438	0.196	0.361	0.219	0.427	0.227	6.247	0.215
BATF3	0.329	0.307	0.347	0.13	0.33	0.147	0.525	0	0.165	0	0	0.119	0.435	0.198	0.737	0.351
BAX	1.208	1.691	3.471	1.985	4.315	3.109	2.254	5.315	8.033	4.698	2.433	1.28	1.262	0.921	2.652	0.794
BAZ1A	3.937	5.465	3.861	2.961	7.137	2.33	4.101	1.705	3.404	1.043	6.401	6.852	4.637	1.483	9.736	6.17
BAZ1B	4.7	6.887	8.577	6.411	21.586	3.447	6.332	2.162	9.782	1.163	8.692	9.618	10.926	2.806	19.476	7.959
BAZ2A	2.832	4.388	7.159	2.516	5.79	3.063	4.198	1.505	4.024	0.609	4.44	5.256	4.827	1.346	5.848	4.65
BAZ2B	3.542	6.132	5.754	1.709	10.929	2.464	3.864	3.344	4.077	0.565	5.338	6.426	7.418	1.774	9.604	4.79
BBC3	0.103	0.311	1.528	0.366	1.943	0.55	0.386	1.632	1.804	0.799	1.055	0.335	0.407	0.278	1.518	0.247
BBIP1	1.357	1.49	2.326	1.35	2.727	0.8	1.36	0	1.589	0.51	1.909	2.727	1.906	0.906	1.366	2.289
BBOX1	0.514	2.555	0.072	4.401	0.098	0	0.097	0	0.017	1.331	0	0.062	1.518	3.65	0.153	0.091
BBS1	0.703	1.147	1.334	0.758	1.963	2.051	1.244	1.387	0.776	0	0.803	1.123	1.482	0.719	3.302	1.176
BBS10	1.382	1.303	0.97	0.535	1.433	0.147	1.488	0.064	1.307	0.584	1.249	2.819	1.972	0.893	2.824	3.111
BBS12	0.502	0.19	0.516	0.056	0.094	0	0.086	0	0.009411	0	0.467	0.5	0.461	0.424	0.484	0.368
BBS2	2.333	3.799	3.849	1.724	1.595	1.518	2.117	0.041	5.222	0.892	5.203	4.463	3.117	1.102	6.048	4.492
BBS4	1.763	1.103	1.306	1.454	1.534	0.153	0.911	1.138	1.2	0.334	1.898	2.353	2.677	1.046	3.768	2.089
BBS5	0.58	0.572	0.432	0.445	0.322	0.243	0.221	0	0.051	0.133	0.893	0.494	0.463	0.399	0.561	0.437
BBS7	1.257	1.289	0.811	0.388	1.091	0.202	0.824	1.437	0.845	0	2.258	1.366	1.024	0.906	1.325	1.409
BBS9	1.446	2.186	1.83	0.699	1.324	0.92	1.299	2.155	2.893	0	1.333	2.94	1.758	0.796	3.102	2.316
BBX	3.351	3.649	5.113	1.514	5.152	2.314	2.888	1.588	4.232	1.411	8.356	5.851	5.037	1.166	12.051	6.121
BCAM	0.565	1.609	1.489	1.898	2.872	5.163	0.375	2.525	0.48	1.098	0.531	0.307	1.065	0.904	3.044	0.62
BCAN	0.08	0	0	0.032	0.034	0	0.054	0	0	0	0.055	0	0.045	0.048	0.107	0
BCAP29	1.377	3.589	1.564	1.445	2.261	0.646	1.345	0.075	3.57	2.951	2.12	1.931	1.728	1.129	4.426	2.478
BCAP31	1.123	3.31	8.756	6.262	4.905	1.803	0.859	1.332	14.357	4.367	8.854	2.962	10.447	1.902	11.597	3.381
BCAR1	0.18	1.247	1.705	1.824	1.382	1.914	0.116	2.114	1.438	1.397	1.24	0.21	2.237	0.629	4.912	0.394
