Feature.ID	B13_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B13_FF_T1gIII_RPKM_fwd_RNA.Seq	B11_FFPE_TagII_RPKM_fwd_RNA.Seq	B11_FF_TagII_RPKM_fwd_RNA.Seq	B11_FFPE_T2gII_RPKM_fwd_RNA.Seq	B11_FF_T2gII_RPKM_fwd_RNA.Seq	B12_FFPE_TagII_RPKM_fwd_RNA.Seq	B12_FF_TagII_RPKM_fwd_RNA.Seq	B12_FFPE_T1gII_RPKM_fwd_RNA.Seq	B12_FF_T1gII_RPKM_fwd_RNA.Seq	B14_FFPE_TagII_RPKM_fwd_RNA.Seq	B14_FF_TagII_RPKM_fwd_RNA.Seq	B14_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B14_FF_T1gIII_RPKM_fwd_RNA.Seq	B15_FF_T2grIII_RPKM_fwd_RNA.Seq	B15_FFPE_T2grIII_RPKM_fwd_RNA.Seq
C17orf103	0	0.32	0	0.085	0.108	0.983	0.158	0.604	0.05	0.591	0.076	0.633	0.035	0.624	0.857	0.143
C17orf104	0	0	0	0.012	0	0.004293	0	0	0	0.018	0	0.00448	0	0.06	0.057	0
C17orf105	0	0	0	0	0	0	0	0	0	0.034	0	0.025	0	0.085	0.062	0
C17orf107	0.07	0.095	0	0.34	0.112	0.548	0.055	0.067	0	0.036	0.059	0.214	0	0.169	0.37	0.178
C17orf112	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0.046	0
C17orf47	0	0.034	0	0.027	0	0.00945	0	0.035	0	0	0	0.004931	0	0.042	0.054	0
C17orf49	0.239	3.068	0	0.773	0.766	5.253	0.931	1.899	0	4.156	0.401	3.752	0.369	5.539	4.713	0.304
C17orf50	0	0	0	0.113	0	0	0	0.072	0	0	0	0	0	0.009723	0.186	0
C17orf51	0.027	0.258	0.032	0.081	0.022	0.988	0.138	0.13	0	0.117	0.206	0.599	0.105	0.48	0.932	0.295
C17orf53	0	0.268	0	0.171	0	0.332	0.154	0.13	0.262	0.627	0	0.223	0.183	0.802	1.411	0.05
C17orf58	0.276	0.839	0	0.409	0.111	2.326	0.806	3.909	0.152	7.055	0.231	1.663	0.532	4.377	4.205	0.702
C17orf59	0	0.686	0	0.122	0.181	1.029	0.132	0.993	0	0.907	0	0.658	0.261	0.738	0.871	0.43
C17orf61	0	2.274	0.529	3.508	2.516	16.549	1.223	7.363	0.99	6.929	0.376	4.165	0	11.066	7.862	1.998
C17orf62	0.727	2.268	0.286	1.548	0.389	4.927	2.426	5.722	1.071	9.605	1.56	4.482	1.248	3.393	5.458	1.441
C17orf64	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0.013	0
C17orf66	0	0.037	0	0.03	0	0.286	0	0.076	0	0	0.184	0.059	0	0.076	0.117	0.07
C17orf67	0	0.725	0	0.867	0.172	1.549	1.755	1.723	0.355	1.475	0.18	1.1	0.414	0.862	1.185	0.136
C17orf70	0.059	1.158	0.139	0.971	0.095	1.409	0.621	2.96	0.652	3.657	0.149	1.393	0.319	2.198	1.804	0.225
C17orf72	0	0.047	0	0.112	0	0.343	0.081	0.684	0	0.676	0	0.128	0	0.155	0.219	0.044
C17orf74	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.016	0
C17orf75	0.094	0.779	0.056	0.673	0.151	2.241	1.284	3.242	0.156	3.618	0.355	1.428	0.291	2.294	2.17	0.24
C17orf77	0	0.087	0	0.046	0	0	0	0.015	0	0.011	0	0.029	0	0.064	0.122	0
C17orf78	0	0	0	0	0	0	0.09	0	0	0	0	0.005633	0	0.048	0.096	0
C17orf79	0.69	2.645	0.271	0.621	0.553	6.564	1.346	8.116	1.524	14.197	1.545	4.802	0.888	6.964	12.914	2.783
C17orf80	0.113	1.355	0.067	1.082	0.272	3.984	1.607	5.613	0.312	5.639	1.042	3.518	0.392	3.767	4.682	1.258
C17orf82	0	0.048	0	0.266	0	0.092	0	0.475	0	0.549	0	0.103	0	0.314	0.126	0.179
C17orf85	0.29	3.713	0.373	2.345	0.866	7.081	3.172	3.263	0.64	3.109	1.967	6.313	2.175	6.659	3.028	0.922
C17orf89	0	4.296	0.454	1.87	1.852	9.117	7.655	18.706	2.125	29.306	1.616	7.529	3.269	15.555	12.727	3.187
C17orf96	0	0.902	0.079	0.054	0.053	0.504	0.572	0.715	0.074	2.253	0.28	0.873	0.206	1.486	6.758	0.934
C17orf97	0.117	0.595	0	0.285	0.094	0.503	0.731	1.328	0.259	1.02	0.787	1.175	0.453	1.297	0.662	0.224
C17orf98	0	0	0	0	0	0	0	0	0	0	0	0.019	0	0.018	0.023	0
C17orf99	0	0.067	0	0	0	0	0	0.034	0	0	0.166	0.029	0	0.018	0.059	0
C18orf21	0.191	4.399	0.451	2.323	0.153	9.417	2.834	7.112	0.845	9.269	0.963	6.943	0.738	11.02	7.655	0.731
C18orf25	0.197	3.428	0.14	1.469	0.221	5.896	2.968	5.28	0.61	3.705	0.993	4.405	1.157	7.3	6.549	1.13
C18orf32	0.261	0.397	0	0.387	0.105	3.356	0.153	5.176	1.152	3.744	0.657	1.307	0.403	1.746	1.28	1.163
C18orf42	0	0.063	0	0	0	0	0	0	0	0	0	0	0	0.008709	0.045	0
C18orf54	0	1.335	0	0.243	0.206	1.973	0.251	0.731	0	1.149	0.108	1.293	0.199	2.961	2.389	0.328
C18orf56	0	0	0	0.069	0	0.357	0.398	0.331	0	0.664	0	0.249	0	0.416	0.258	0
C18orf62	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0.047	0
C18orf63	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0.026	0.048	0
C18orf8	0.198	9.193	0.468	1.821	0.796	9.084	1.934	6.699	0.548	8.815	1.166	6.048	1.302	5.328	7.061	1.2
C19orf10	0.821	10.96	0.242	1.55	1.974	12.508	2.159	16.636	1.132	37.891	1.722	9.969	1.742	16.662	16.234	1.437
C19orf12	0.469	1.844	0.101	0.46	0.171	1.668	1.412	2.07	0.376	2.978	0.322	1.89	0.23	1.91	2.883	0.543
C19orf18	0	1.036	0.278	0.509	0	0.417	0.551	1.222	0	0.612	0	1.387	0.182	0.449	0.504	0.3
C19orf21	0.076	0.051	0	0.265	0.364	2.855	0.177	2.687	0.083	1.69	0.317	0.728	0	0.214	4.856	0.53
C19orf24	0.241	0.896	0	0.195	0	1.123	0.845	2.208	0.266	2.879	0.404	1.488	0.372	1.904	2.177	0.307
C19orf25	0.096	0.743	0.225	0.825	0.23	1.006	0.782	1.933	0.316	2.556	0.16	1.078	0.442	1.039	1.834	0.973
C19orf26	0	0.057	0	0	0	0.055	0.066	0.044	0	0.044	0	0.082	0	0.125	0.195	0.054
C19orf33	0.468	60.727	2.207	11.105	4.125	58.514	26.436	159.105	6.196	217.846	4.711	22.092	5.415	48.358	63.759	10.719
C19orf35	0	0	0	0.023	0.067	0.007821	0	0.015	0	0	0	0.033	0	0.031	0.04	0
C19orf38	0	0.402	0	0.107	0	0.388	0	0.017	0	0.231	0	0.337	0.153	0.101	0.212	0.126
C19orf40	0.187	0.949	0	0.455	0.15	1.117	0.073	1.116	0.207	0.924	0.314	0.61	0	1.018	2.626	0.357
C19orf42	0.785	3.504	0	1.271	0.63	8.506	3.367	11.58	1.214	15.481	1.582	5.569	0.606	7.958	6.815	1.4
C19orf43	2.133	23.233	1.118	2.365	1.9	14.711	8.036	22.655	1.831	35.668	5.17	16.044	4.572	24.983	25.51	5.581
C19orf44	0	0.893	0	0.556	0.155	0.751	0.678	1.014	0.356	1.029	0.054	1	0.298	0.899	0.954	0
C19orf45	0	0.261	0	0	0	0	0	0.089	0	0.033	0	0.15	0	0.233	0.947	0.164
C19orf47	0	0.999	0	0.717	0	1.193	0.345	1.064	0.109	1.189	0.331	0.891	0.304	0.92	2.581	0.627
C19orf48	0	1.924	0	0.349	0.104	2.81	0.403	2.225	0	3.713	0.109	1.353	0.399	3.127	4.983	0.412
C19orf52	0.154	1.148	0.182	0.416	0.247	1.799	0.421	2.775	0.17	4.511	0.907	1.862	0.715	2.246	1.275	0.197
C19orf53	0.237	7.851	0	1.854	1.14	8.548	2.586	9.033	0.523	18.619	0.795	8.275	1.28	10.156	12.917	3.168
C19orf54	0.078	0.741	0.092	0.359	0.126	0.533	0.214	0.345	0.086	0.346	0.066	0.591	0.423	0.648	1.355	0.499
C19orf55	0	1.766	0.237	0.542	0.081	0.908	1.957	1.224	0.554	1.852	0.506	1.397	1.008	1.419	1.845	1.023
C19orf57	0	0.301	0	0.12	0	0.191	0.104	0.046	0	0.231	0.075	0.169	0.138	0.244	0.646	0
C19orf59	0	0	0	0	0	0.077	0	0	0	0	0	0.289	0	0.038	0.088	0
C19orf6	0.637	8.184	0.376	3.803	1.085	9.664	4.935	14.737	1.758	20.828	1.804	7.584	2.028	8.573	9.117	2.332
C19orf60	0	3.645	0.289	1.653	0.196	2.49	2.579	7.71	1.623	11.17	1.234	3.373	0.567	5.137	8.303	1.092
C19orf66	0.406	3.604	0.359	1.863	0.895	4.401	2.928	5.529	0.784	5.235	2.641	3.945	0.862	2.945	3.313	1.616
C19orf67	0	0	0	0	0	0.041	0.114	0.076	0	0.095	0	0.021	0	0.102	0.017	0
C19orf68	0.497	0.462	0.293	0.067	0.299	0.289	0.435	0.107	0.411	0.161	1.042	0.205	0.479	0.127	0.288	0.316
C19orf69	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0.176	0
C19orf70	0	1.62	0	0.582	0	3.841	0.56	6.793	0.264	9.397	0	2.004	0.185	3.898	3.675	0.61
C19orf71	0	0.326	0	0.954	0	0.18	0.376	0.25	0	0.417	0	0.547	0.248	0.418	0.038	0.205
C19orf73	0	0.098	0	0.235	0.232	0.297	0.678	0.476	0.32	0.263	0.243	0.211	0	0.256	0.276	0
C19orf76	0	0.656	0	0.358	0	0.314	0.08	0.203	0.225	0.212	0	0.214	0.315	0.29	0.388	0.065
C19orf77	0	0.241	0	0	0	0.044	0.093	0	0	0.123	0	0.289	0.183	0.42	0.621	0
C19orf80	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0.023	0.029	0
C19orf81	0	0.095	0	0	0	0.079	0	0	0	0	0	0	0	0.052	0.335	0
C1D	0.336	3.35	0.396	0.951	0.539	6.215	1.571	6.692	0.371	8.048	1.832	4.125	0.518	7.12	6.809	1.39
C1GALT1	0.417	1.562	0.205	0.825	0.195	4.65	1.557	2.945	0.192	2.125	0.991	4.237	0.804	4.374	5.651	0.708
C1GALT1C1	0.34	7.16	0.401	2.078	0.726	26.139	2.781	12.59	0.625	22.622	1.141	7.079	0.699	10.914	7.702	1.081
C1orf100	0	0	0	0	0	0.035	0	0	0	0	0	0.054	0	0.017	0	0
C1orf101	0.068	0.685	0	1.002	0	0.736	0.895	0.817	0.298	0.307	0.227	1.34	0.104	0.75	0.144	0
C1orf105	0	0	0	0	0	0.02	0	0.17	0	0	0	0.032	0	0.173	0.104	0
C1orf106	0.93	10.651	0.289	2.191	0.431	5.467	8.294	17.523	1.62	13.494	2.668	7.957	2.605	15.795	6.485	1.09
C1orf109	0.183	2.755	0	0.618	0.147	3.517	1.606	3.775	0.303	2.271	0.999	2.686	1.131	3.801	4.278	0.583
C1orf110	0.139	2.678	0.164	0.187	0	0.389	0	0.012	0	0	0	0.006758	0	0.052	0.24	0
C1orf111	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0.034	0.175	0
C1orf112	0.128	3.403	0.151	0.778	0.308	2.474	0.625	1.674	0.071	1.84	0.323	2.501	0.297	6.337	5.279	0.367
C1orf114	0	0.313	0	0	0	0.183	0.676	1.568	0.765	0.06	0.097	1.237	0.089	0.193	0.618	0.147
C1orf115	0.218	2.11	0	0.117	0.233	0.947	0.679	2.477	0.16	1.263	0.365	1.648	0.336	3.339	0.716	0.185
C1orf116	0.902	4.876	0.647	4.346	0.88	4.293	15.139	59.446	3.375	41.122	2.138	8.176	2.329	8.836	5.456	1.447
C1orf122	0	1.217	0	0.486	0.131	2.608	0.383	3.408	0.181	3.867	0.961	1.464	0.505	2.015	1.994	0.521
C1orf123	0.994	4.099	0	3.003	0.956	5.799	1.937	8.349	0.439	9.318	1.001	5.897	1.227	8.213	5.647	1.771
C1orf127	0	0	0	0.021	0	0.095	0	0	0	0	0	0.015	0	0.015	0.032	0
C1orf129	0	0	0	0.016	0	0.011	0	0	0	0	0	0.017	0	0.049	0.173	0
C1orf131	0.601	6.554	0.177	1.216	0.482	4.384	2.343	5.157	0.332	6.733	1.009	5.738	0.696	7.439	6.512	2.009
C1orf141	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0.096	0
C1orf146	0	0	0	0	0	0.08	0	0.025	0	0.037	0	0.028	0	0.067	0.085	0
C1orf151-NBL1	0.586	2.276	0.345	0.816	1.017	4.502	3.537	5.6	1.185	3.738	1.064	2.734	0.753	3.892	6.502	3.354
C1orf158	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.079	0.075	0
C1orf159	0	0.52	0	0.221	0.082	0.697	0.439	0.992	0.339	1.318	0.344	0.842	0	1.115	1.2	0.457
C1orf162	0	2.067	0	0.254	0.377	2.565	0.458	0.732	0.26	0.366	0.987	1.876	0	0.503	0.853	0.299
C1orf167	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.008067	0
C1orf168	0	0.084	0	0.034	0	0.029	0	0.022	0	0	0	0.07	0	0.145	0.059	0
C1orf172	0.12	2.952	0	0.516	0	3.411	1.165	5.19	0.264	5.467	0.602	2.437	0.646	4.164	3.597	0.152
C1orf173	0	0.01	0	0.008126	0	0	0.012	0.01	0	0	0	0.004395	0	0.059	0.048	0
C1orf174	0.388	4.026	0.153	1.921	0.623	6.25	2.119	7.966	0.286	5.951	0.978	5.383	1.998	8.315	9.756	1.895
C1orf177	0	0.082	0	0	0	0.124	0	0.031	0	0.031	0	0.047	0.093	0.056	0.15	0
C1orf186	0.259	1.314	0.306	0.419	0.311	0.652	10.601	15.528	0.429	0.353	4.021	20.649	0.9	4.997	0.577	0
C1orf189	0.557	0	0	0	0	0	0	0.289	0.615	0.072	0	0.081	0	0.13	0.066	0
C1orf192	0	0.471	0	0	0	0.364	0	0.53	0	0.181	0	0.203	0	0.505	1.805	0.177
C1orf194	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123	0.088	0
C1orf198	0.731	5.54	0.246	0.718	0.418	4.996	4.129	10.515	0.634	9.38	1.445	7.024	1.249	13.566	10.846	2.292
C1orf204	0	0.554	0.305	0.279	0	0.313	0.302	1.215	0	0.481	0.289	0.558	0.266	0.814	0.415	0.11
C1orf21	0.293	3.359	0.222	0.666	0.101	2.58	0.978	1.467	0.485	0.883	0.808	3.244	0.953	3.805	3.957	1.092
C1orf210	0	0.673	0	0.192	0.342	1.379	0.665	2.582	0.157	2.217	0.119	0.982	0.11	1.481	1.86	0.362
C1orf212	0.102	2.071	0.239	0.712	0.163	2.996	1.477	2.805	0.747	2.623	0.909	2.301	0.914	3.74	2.679	0.84
C1orf216	0.221	1.789	0.087	0.337	0.53	1.85	1.633	1.55	0.406	3.074	0.678	1.351	0.737	1.773	1.944	1.31
C1orf222	0	0	0	0	0	0	0	0	0	0	0	0.003797	0	0.036	0.079	0
C1orf226	0.101	1.44	0.12	0.246	0.122	0.619	1.226	2.503	0.28	1.423	0.511	1.3	0.705	2.501	3.156	0.258
C1orf227	0	0	0	0	0	0.079	0	0.037	0	0.332	0	0	0	0.04	0.101	0
C1orf228	0.128	0.13	0.151	0.035	0	0.155	0	0.111	0	0	0.215	0.23	0	0.077	0.068	0.081
C1orf229	0	0.032	0	0	0	0.018	0	0.033	0	0.099	0	0.06	0	0.067	0.017	0
C1orf233	0	0.384	0	0.111	0	0.289	0.04	0.455	0.114	0.375	0	0.181	0	0.504	1.092	0.131
C1orf27	0.941	11.845	0.326	3.509	1.198	8.776	6.537	13.167	1.894	7.397	2.415	11.089	2.478	11.689	10.397	2.607
C1orf35	0.334	4.408	0.197	0.767	0	1.761	1.303	3.685	0	3.821	0.421	2.146	0.903	4.476	2.325	0.532
C1orf43	2.386	32.15	1.072	3.004	2.824	22.547	17.492	45.392	3.512	35.132	4.767	23.723	6.752	44.109	26.954	4.195
C1orf50	0	1.652	0	0.459	0	2.357	1.491	3.746	0	3.145	0.178	2.304	0.328	2.864	2.147	0.541
C1orf51	0.124	1.172	0	0.2	0.099	0.865	0.965	2.001	0.137	0.354	0.416	0.5	0.191	0.449	1.067	0.709
C1orf52	0.264	1.787	0.234	1.23	0.318	2.944	1.828	3.021	0.438	2.746	0.333	2.706	0.408	3.311	2.27	0.547
C1orf53	0	0.427	0	0.085	0	0.559	0.123	0.682	0	0.41	0	0.369	0	1.071	0.263	0
C1orf54	0	0.83	0	1.325	0.328	4.386	2.871	3.608	1.355	0.957	1.717	5.115	1.263	4.166	2.822	2.865
C1orf56	0.21	0.675	0	0.51	0.168	1.106	0.491	2.796	0.232	1.91	0.441	1.395	0.162	1.528	2.529	0.134
C1orf61	0	0.083	0	0	0	0	0	0.021	0	0	0	0	0	0.068	0.437	0.156
C1orf63	0.736	16.422	0.347	13.819	1.062	17.905	8.721	39.328	1.95	27.833	1.853	26.511	1.704	18.009	17.027	2.436
C1orf64	0	0	0	0	0	0	0	0.142	0	0	0	0.011	0	0.098	0.014	0
C1orf65	0	0	0.121	0	0	0	0	0	0	0.053	0	0.015	0.079	0.057	0.049	0
C1orf68	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055	0	0
C1orf74	0.414	2.242	0.652	0.559	0.554	2.279	1.4	1.946	0	1.884	0.464	2.95	2.559	4.726	2.266	0.616
C1orf85	0.583	4.451	0.137	0.723	0.374	4.507	1.953	11.812	0.129	9.214	1.369	4.913	0.45	6.082	3.137	0.445
C1orf86	0.113	0.725	0.067	0.228	0.045	0.594	0.44	0.809	0.062	0.593	0.284	0.749	0.131	0.6	0.553	0.287
C1orf87	0	0	0	0	0	0	0	0.147	0	0.014	0	0	0	0.049	0.038	0
C1orf94	0	0	0	0	0	0	0	0	0	0	0	0.006651	0	0.038	0.057	0
C1orf95	0	0.009462	0	0	0	0.013	0	0.009677	0	0	0	0.012	0	0.027	0.035	0.018
C1QA	0.589	1.66	0.232	0.583	2.362	8.183	0.689	2.546	0.217	0.867	0.659	1.672	0.303	0.968	5.861	1.25
C1QB	0.413	3.911	0.244	1.672	1.821	24.548	0.403	6.338	0.228	1.931	1.213	3.918	0.478	1.863	13.924	2.498
C1QBP	1.298	20.248	0.219	4.352	2.973	79.798	5.276	32.696	2.456	37.084	5.913	37.066	6.726	97.309	35.48	3.777
C1QC	1.086	2.693	0.214	0.928	2.032	13.417	0.494	4.1	0.4	1.364	0.76	2.466	0.699	1.237	8.169	1.729
C1QL1	0	0	0	0	0	0.054	0	0.012	0	0.037	0	0.021	0	0.033	0.111	0
C1QL2	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0.009784	0	0
C1QL3	0	0	0	0.023	0	0.097	0	0.022	0	0.022	0	0.021	0	0.032	0.082	0
C1QL4	0	0	0	0	0	0	0	0	0	0	0	0.005079	0	0	0.012	0
C1QTNF1	0.064	0.736	0	0.052	0.154	1.235	0.05	0.852	0.071	0.341	0.107	0.925	0.198	0.666	0.704	0.326
C1QTNF2	0	0.03	0	0.024	0	0.167	0.035	0.108	0	0.139	0.075	0.109	0	0.233	0.202	0
C1QTNF3	0.056	1.124	0.266	0.928	0.181	1.051	1.45	1.452	0.249	0.695	0.709	1.642	0.218	0.914	0.63	0.969
C1QTNF4	0	0	0	0	0	0	0	0.013	0	0	0	0.007418	0	0.014	0.009065	0
C1QTNF5	0	0.149	0	0	0	0.205	0.129	0.271	0	0.071	0.092	0.34	0.042	0.696	0.226	0.175
C1QTNF6	0.073	0.521	0.087	0.476	0.118	0.924	0.544	0.571	0	0.839	0.185	0.968	0.283	0.929	1.297	0.281
C1QTNF7	0	0.331	0	0.108	0.036	0.353	0.278	0.994	0	0.33	0.075	0.694	0.138	1.052	0.546	0.312
C1QTNF8	0	0	0	0	0	0	0	0	0	0.008222	0	0.003079	0	0.038	0.007527	0
C1QTNF9	0	0.04	0	0	0	0.022	0	0.01	0	0.031	0	0.029	0	0.066	0.597	0.902
C1QTNF9B	0	0	0	0	0	0.04	0	0.019	0	0	0.181	0.021	0	0.04	1.164	1.233
C1QTNF9B-AS1	0	0.081	0	0.064	0.191	0.333	0	0.103	0	0.248	0	0.127	0	0.21	0.439	0
C1R (NC_000012 7187512..7189412)	0.184	6.418	0.87	0.547	2.512	26.148	1.509	6.675	0.61	2.777	1.392	7.216	0.711	5.997	8.842	4.458
C1R (NC_000012 7241204..7245043)	0.196	8.499	0.463	1.219	1.889	39.487	0.306	7.826	0	4.208	0.989	8.74	0.152	8.235	13.577	2.875
C1RL	0.698	5.256	0.749	3.356	1.018	8.483	4.625	7	1.471	6.437	2.077	6.287	1.714	4.826	5.76	1.939
C1S	0.921	6.536	1.086	0.973	3.69	27.294	0.897	7.52	0.169	0.976	2.06	8.619	0.474	3.794	12.855	7.569
C2	0.072	5.8	0.171	2.871	0.638	13.205	0.48	3.76	0	0.207	0.182	1.102	0.168	0.39	16.67	0.922
C20orf111	0.384	4.776	0.113	2.644	0.693	6.512	2.21	7.036	1.167	9.335	0.565	4.828	1.113	5.36	8.42	0.673
C20orf112	0.309	1.858	0.656	0.8	0.47	2.91	5.536	7.372	1.704	8.248	1.632	4.776	2.121	5.78	5.75	2.241
C20orf118	0	0.036	0	0.086	0.085	0.719	0	0.037	0	0.014	0.177	0.154	0.082	0.133	0.214	0
C20orf132	0.059	0.16	0	0.032	0.095	0.617	0.023	0.174	0	0.092	0	0.19	0.137	0.179	0.155	0.075
C20orf141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0
C20orf144	0	0	0	0	0	0.035	0	0	0	0.049	0	0.037	0	0	0.067	0
C20orf151	0	1.801	0.18	0.842	0.244	0.404	0.326	1.5	0.588	2.56	0.319	1.981	0.352	2.841	4.081	0.969
C20orf152	0	0.151	0	0	0.09	0.052	0	0.068	0	0.029	0	0.038	0	0.088	0.173	0
C20orf160	0	0.23	0	0.092	0.068	0.508	0	0.368	0	0.066	0	0.418	0.131	0.404	0.278	0.163
C20orf166	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008216	0	0
C20orf173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0
C20orf194	0.375	4.01	0.147	2.282	0.375	5.664	5.693	7.81	2.171	6.883	1.755	7.914	1.132	4.139	2.61	0.974
C20orf195	0	0.197	0	0.052	0	0.054	0.151	0.386	0.214	1.385	0	0.274	0.15	0.397	0.45	0
C20orf196	0	0.569	0	0.05	0	1.724	0.291	0.791	0	0.777	0.47	0.763	0	0.304	0.289	0.119
C20orf197	0	0.08	0	0	0	0.066	0	0.055	0	0.051	0	0.092	0	0.088	0.019	0
C20orf20	0.659	3.387	0.155	0.853	0.211	5.332	2.106	6.153	0.291	8.148	0.885	3.827	0.61	5.471	8.211	0.923
C20orf201	0	0	0	0	0	0	0	0.021	0	0.097	0	0	0	0.023	0.044	0
C20orf202	0	0	0	0.181	0	0.226	0	0.198	0	0.297	0	0.196	0	0.262	0.136	0
C20orf203	0	0.046	0	0	0	0.013	0.053	0.07	0	0.023	0	0.024	0	0.04	0.107	0
C20orf24	0.944	7.469	0.446	1.681	0.757	22.178	1.693	15	0.417	19.913	0.634	6.842	0.291	8.286	27.298	4.688
C20orf26	0	0.031	0	0.025	0	0.103	0	0.003989	0	0	0	0.02	0	0.066	0.134	0
C20orf27	0.351	2.691	0	0.126	0.282	3.066	0.73	2.176	0.129	2.63	0.295	1.441	0.361	2.073	1.816	0.298
C20orf43	0.654	22.769	0.926	3.21	1.573	23.782	7.34	26.383	2.31	31.776	2.963	20.964	3.129	20.595	29.648	4.329
C20orf72	0.304	8.882	0.957	3.913	1.382	11.412	4.23	7.794	1.903	6.876	1.447	8.323	1.096	8.996	10.142	2.002
C20orf78	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0.059	0
C20orf79	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0
C20orf85	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.084	0
C20orf94	0.307	6.632	0.181	2.398	0	10.386	2.031	4.531	1.015	3.543	0.9	6.038	0.71	4.617	4.437	0.78
C20orf96	0.134	2.222	0.316	1.194	0.215	2.138	1.307	1.866	0.444	2.229	0.675	4.644	0.932	2.681	2.615	0.512
C21orf2	0	0.574	0.091	0.479	0	1.582	0.331	1.087	0.085	1.222	0.129	0.645	0.06	0.649	1.192	0.098
C21orf33	0.388	4.854	0.153	1.71	1.452	9.671	3.378	9.46	0.571	12.113	1.303	7.022	0.699	8.539	13.757	2.141
C21orf56	0	0.724	0	0.025	0.075	0.451	0.399	0.966	0	1.645	0	0.933	0.072	0.753	0.991	0.059
C21orf58	0.073	1.007	0.171	0.274	0.058	0.711	0.227	0.496	0	1.151	0.366	0.961	0.393	1.341	1.153	0.37
C21orf59	0.453	19.72	0.535	3.302	0.848	16.382	6.184	19.084	1.334	30.38	2.409	13.362	4.082	26.545	18.837	4.521
C21orf62	0	0.088	0	0.042	0	0.024	0.061	0.072	0.058	0.02	0	0.061	0.081	0.08	0.156	0
C21orf7	0.216	1.57	0.382	0.728	0.087	0.966	1.768	2.641	0.596	1.949	0.906	3.067	0.667	3.318	0.834	0.344
C21orf91	0.198	1.879	0.187	0.546	0.286	8.38	1.609	3.397	0.263	4.454	0.733	3.712	0.643	4.234	3.81	0.682
C22orf13	0.419	5.68	0.282	2.306	1.102	13.898	2.703	8.873	0.66	11.856	0.903	5.225	0.646	8.104	10	1.332
C22orf15	0	0	0	0	0	0	0	0.108	0	0	0	0.049	0	0.058	0	0
C22orf23	0	0.036	0	0.116	0	0.44	0.209	0.696	0	0.502	0	0.209	0.083	0.384	0.504	0
C22orf24	0	0	0	0	0	0.081	0	0	0	0	0	0.042	0	0.08	0.051	0
C22orf25	0.095	2.986	0.224	1.383	0.228	4.187	1.517	4.145	0.839	5.253	0.956	3.334	0.953	3.037	5.018	1.028
C22orf26	0	0.079	0.139	0.032	0	0.142	0	0.183	0	0.061	0	0.16	0	0.126	0.147	0
C22orf28	0.731	7.481	0.739	2.731	0.753	21.852	3.743	21.031	1.152	21.173	1.927	9.27	1.772	14.701	28.311	3.787
C22orf29	0	0.055	0	0.008768	0	0.027	0	0.039	0	0	0	0	0.05	0.036	0.041	0.021
C22orf31	0	0.068	0	0	0	0.094	0	0.017	0	0.262	0	0.029	0	0.037	0.132	0
C22orf32	0.275	1.903	0	0.148	0.55	2.277	0.589	2.658	0.152	2.745	0.461	1.516	0.742	2.169	2.742	0.175
C22orf39	0.077	1.151	0	0.501	0.31	1.977	1.991	1.96	0.256	3.227	0.455	1.705	0.538	1.993	2.374	1.133
C22orf42	0	0	0	0	0	0.05	0	0.023	0	0	0	0.026	0	0.1	0.064	0
C22orf43	0	0.056	0	0	0	0.34	0.259	0.201	0	0.108	0.139	0.403	0	0.216	0.375	0
C22orf46	0.347	1.128	0.307	0.702	0.521	1.943	1.706	0.806	0.622	0.433	1.128	1.406	1.204	1.314	0.747	0.717
C2CD2	0.233	4.363	0.315	1.575	0.535	6.824	4.667	9.245	0.847	8.121	1.931	6.576	0.927	6.367	13.358	1.741
C2CD2L	0.129	1.003	0.076	0.331	0.052	0.685	0.452	1.438	0.285	1.415	0.108	1.076	0.149	1.166	1.51	0.493
C2CD3	0.412	3.354	0.081	1.723	0.303	3.344	1.953	2.813	0.417	2.144	1.095	4.334	1.166	5.953	3.034	0.524
C2CD4A	0	0.529	0	0	0	0.56	0.024	0.06	0	0.008129	0.105	0.402	0	0.102	0.83	0.08
