Feature.ID	C1_T_FF_RPKM_fwd_RNA.Seq	C1_T_FFPE_RPKM_fwd_RNA.Seq	C2_T_FF_RPKM_fwd_RNA.Seq	C2_T_FFPE_RPKM_fwd_RNA.Seq	C3_T_FF_RPKM_fwd_RNA.Seq	C3_T_FFPE_RPKM_fwd_RNA.Seq	C4_T_FF_RPKM_fwd_RNA.Seq	C4_T_FFPE_RPKM_fwd_RNA.Seq	C4_N_FF_RPKM_fwd_RNA.Seq	C5_T_FF_RPKM_fwd_RNA.Seq	C5_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FF_RPKM_fwd_RNA.Seq	C9_N_FF_RPKM_fwd_RNA.Seq	C9_T_FF_RPKM_fwd_RNA.Seq	C9_T_FFPE_RPKM_fwd_RNA.Seq	C13_N_FF_RPKM_fwd_RNA.Seq	C13_T_FF_RPKM_fwd_RNA.Seq	C13_T_FFPE_RPKM_fwd_RNA.Seq	C16_T_FF_RPKM_fwd_RNA.Seq	C16_T_FFPE_RPKM_fwd_RNA.Seq	C17_N_FF_RPKM_fwd_RNA.Seq	C17_T_FFPE_RPKM_fwd_RNA.Seq	C17_T_FF_RPKM_fwd_RNA.Seq	C18_T_FFPE_RPKM_fwd_RNA.Seq	C18_N_FF_RPKM_fwd_RNA.Seq	C18_T_FF_RPKM_fwd_RNA.Seq	C19_T_FF_RPKM_fwd_RNA.Seq	C19_T_FFPE_RPKM_fwd_RNA.Seq	C19_N_FF_RPKM_fwd_RNA.Seq
EMC2	13.062	5.931	18.311	5.33	17.179	5.025	19.83	6.989	29.65	25.412	6.575	5.768	20.935	36.865	22.609	5.202	37.081	15.905	2.547	20.843	5.109	21.895	7.781	14.829	5.802	16.393	12.425	12.499	2.252	24.212
EMC3	5.865	3.288	9.916	4.71	7.45	3.52	8.777	4.006	22.6	22.952	4.2	5.067	29.916	25.145	17.786	2.85	34.075	27.347	3.726	12.028	4.273	17.958	3.691	9.608	5.129	14.223	10.574	10.452	1.721	18.189
EMC4	16.862	9.201	23.366	9.294	21.744	9.299	36.803	11.861	44.315	57.115	12.691	7.768	51.416	48.242	37.207	10.217	60.371	63.968	14.595	41.272	9.659	47.867	8.882	30.606	12.838	30.661	36.218	22.653	3.048	31.784
EMC6	2.223	1.522	4.103	2.384	4.284	2.047	7.565	2.693	9.567	9.912	2.365	2.472	5.288	7.168	5.833	2.467	8.629	8.913	2.139	9.579	0.651	4.152	1.475	6.415	2.626	5.265	7.986	5.151	0.884	4.943
EMC7	5.306	5.236	7.818	3.913	8.594	2.842	8.221	4.879	20.788	21.228	4.745	1.848	15.21	20.071	14.119	3.305	27.052	22.554	3.56	14.823	3.892	17.736	3.152	5.301	4.678	12.765	16.805	8.905	2.865	13.335
EMC8	3.122	1.319	2.974	1.307	3.839	1.29	3.375	2.161	5.014	4.957	1.099	1.417	3.272	4.262	3.589	1.444	5.543	5.288	1.661	6.078	1.48	3.331	0.93	2.845	1.86	2.74	3.323	2.454	1.301	3.794
EMC9	3.066	1.034	2.79	0.878	3.302	1.38	1.463	0.587	2.709	5.457	1.116	0.778	3.045	3.11	2.518	0.631	3.88	7.333	0.977	3.153	0.614	1.679	0.597	1.275	0.583	2.954	2.233	2.582	0.835	3.651
EMCN	0.901	0.511	0.431	0.454	0.056	0.685	0.459	0.243	2.941	1.028	0.243	0.23	1.391	2.036	0.276	0.351	3.101	1.829	0.754	1	0.931	2.026	0.987	0.659	0.543	1.333	0.289	0.377	0.23	1.216
EMD	4.328	2.401	2.804	1.848	4.538	2.409	3.844	3.597	4.821	6.421	2.49	2.355	2.927	4.124	4.218	2.51	6.56	11.701	3.817	10.094	2.425	3.316	3.101	4.769	2.273	4.354	4.525	3.41	1.735	3.921
EME1	1.317	0.469	0.694	0.37	1.96	0.098	0.802	0.589	1.061	1.164	0.5	0.118	0.795	0.578	0.954	0.379	0.707	2.066	0.37	0.746	0.363	0.794	0.071	0.678	0.103	0.857	0.693	0.593	0	0.576
EME2	1.419	0.126	1.067	0.201	0.79	0.202	0.52	0.358	1.157	0.595	0.28	0.325	0.372	0.42	1.139	0.071	0.691	1.422	0.525	1.848	0	0.41	0.146	0.934	0.534	0.885	1.431	0.668	0	0.743
EMG1	9.122	2.196	5.649	2.054	9.719	1.291	11.789	2.972	13.067	11.8	3.319	1.212	9.133	8.994	10.18	3.592	11.063	20.907	3.351	20.488	1.915	7.418	3.412	14.657	2.558	7.538	7.181	4.026	1.735	4.902
EMID1	0.064	0.068	0.395	0.391	0.08	0.055	0.088	0.116	0.915	0.693	0.29	0.351	0.368	0.406	0.234	0.249	0.801	0.568	0.18	0.665	0.162	0.111	0.157	0	0.202	0.372	0.331	0	0.11	0.561
EMID2	0.022	0.016	0	0	0	0	0.025	0	0	0	0	0	0	0	0.006859	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0
EMILIN1	1.762	3.046	3.399	3.235	0.9	5.382	1.382	2.176	5.672	3.189	0.984	2.967	4.914	6.07	2.031	1.018	8.5	6.281	2.03	4.012	4.037	6.231	2.109	2.635	3.401	4.356	3.196	6.989	1.121	4.128
EMILIN2	1.882	1.305	1.856	0.926	1.909	1.236	1.921	1.323	3.209	2.185	1.027	1.064	3.893	3.516	2.154	1.01	8.255	5.675	1.248	2.102	2.004	1.399	1.077	1.261	1.26	2.909	2.151	4.84	0.927	3.295
EMILIN3	0.018	0.025	0.064	0.024	0	0.09	0.019	0.107	0.135	0.035	0.026	0.073	0	0.125	0.022	0.021	0.16	0.078	0.028	0.046	0	0.183	0	0	0.08	0.117	0	0	0	0.133
EML1	0.685	0.934	2.276	1.449	1.058	4.254	0.647	1.733	4.366	1.583	0.466	1.559	4.224	3.089	1.732	1.272	3.827	2.151	1.359	2.019	1.777	3.979	1.396	1.118	2.8	2.727	2.268	1.43	0.771	1.947
EML2	2.174	1.982	3.13	2.055	2.451	2.453	2.903	2.028	5.306	10.283	4.446	1.856	3.623	4.963	6.119	2.156	6.385	7.574	1.948	4.531	1.489	4.449	1.179	3.091	2.318	3.437	4.437	2.087	0.675	3.989
EML3	3.54	1.548	3.6	1.788	4.408	2.017	2.958	1.304	2.794	2.808	1.288	2.279	1.584	2.494	2.678	1.319	3.371	3.486	1.737	2.804	1.208	2.441	1.174	1.39	2.207	2.067	3.294	2.572	0.999	1.873
EML4	15.713	9.738	25.934	11.314	24.152	8.844	23.795	12.827	41.915	41.387	12.34	9.042	28.565	33.281	37.095	13.196	38.783	32.953	10.858	23.03	8.625	25.014	8.321	16.973	12.396	24.914	28.183	21.394	4.898	29.48
EML5	0.31	0.087	0.141	0.153	1.279	0.578	0.227	0.023	0.591	0.25	0.113	0.22	0.635	0.728	0.313	0.412	0.598	0.393	0.106	0.22	0.095	0.424	0.162	0.148	0.144	0.313	0.033	0.195	0	0.496
EML6	0.541	0.196	0.646	0.228	0.373	1.203	0.589	0.114	0.942	0.376	0.415	0.425	0.589	1.265	0.916	0.485	0.635	0.375	0.208	0.246	0.152	0.357	0.106	0.136	0.326	0.286	0.623	0.468	0.207	0.431
EMP1	5.743	11.313	7.787	8.531	18.841	15.981	11.977	17.758	165.558	7.718	3.244	7.409	35.361	29.513	16.612	9.273	86.762	13.445	14.641	34.87	21.031	25.251	13.09	20.495	7.837	44.785	15.46	24.245	9.859	162.279
EMP2	11.653	7.382	6.905	5.563	11.696	6.715	14.565	11.675	20.654	23.65	9.213	8.933	19.076	25.478	13.526	6.082	28.773	38.19	12.426	7.725	3.2	20.251	5.289	6.625	9.634	12.119	13.405	10.869	3.991	16.474
EMP3	1.463	2.142	2.475	1.548	0.747	4.586	1.474	1.674	8.242	2.813	0.946	1.119	4.43	6.509	2.71	1.368	12.251	7.386	1.181	4.023	4.742	8.174	3.807	1.284	2.423	5.681	1.687	4.437	1.962	4.086
EMR1	0.166	0.089	0.139	0.057	0.017	0.213	0.114	0.025	0.145	0.242	0.053	0.086	1.165	0.482	0.178	0.025	0.117	0.352	0.117	0.108	0.053	0.072	0.256	0	0.056	0.138	0.216	0	0.143	0.313
EMR2	1.063	1.024	1.323	1.453	0.626	0.641	0.624	0.568	1.005	0.524	0.383	0.631	1.851	0.593	0.488	0.701	1.548	1.977	0.715	0.896	1.004	0.723	1.079	0.576	0.8	0.589	0.505	2.491	1.329	1.309
EMR3	0.146	0.146	0.181	0.119	0.049	0.25	0.08	0.106	0.041	0.259	0.064	0.282	1.673	0.219	0.161	0.053	0.114	0.6	0	0	0.371	0	0.144	0.116	0.106	0.195	0.304	0.11	0	0.074
EMX1	0	0	0.016	0	0	0	0.017	0	0.022	0.05	0	0	0	0.023	0.122	0.148	0.027	0	0	0.08	0	0	0	0	0	0	0	0	0	0
EMX2	0.047	0	0.144	0.206	0	0.08	0.064	0	0.016	0	0	0	0	0	0	0	0	0	0.056	0	0.059	0	0	0	0.042	0	0	0	0.16	0.058
EN1	0	0	0	0.031	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0
EN2	0.139	0.014	0.031	0.04	0	0	0.109	0.409	0.014	0.007988	0	0	0	0	0	0	0	0	0.032	0.31	0.05	0	0.049	0	0	0	0	0	0	0
ENAH	5.008	3.887	5.781	4.651	6.027	6.052	15.298	9.921	7.19	11.265	4.311	2.535	5.833	6.733	7.267	2.97	6.02	13.481	6.159	5.051	4.243	5.109	5.951	3.333	7.468	3.745	7.166	5.074	2.452	3.523
ENAM	0.154	0	0.012	0.105	0	0	0.137	0	0.025	0.048	0.022	0	0.025	0.022	0.018	0.014	0.036	0.011	0.048	0	0	0.082	0	0	0.032	0.02	0	0.045	0	0
ENC1	9.916	9.308	20.425	12.768	16.767	2.534	12.515	18.796	7.182	21.737	12.845	6.509	9.925	4.477	11.194	9.51	7.423	21.726	12.085	26.447	8.922	4.283	5.886	18.998	8.364	2.877	16.682	33.346	8.639	4.494
ENDOD1	4.795	4.438	6.772	4.423	8.104	8.051	9.01	4.661	44.811	24.717	5.428	5.81	37.259	51.929	11.77	5.023	56.671	7.816	5.956	8.902	3.169	35.551	4.034	7.767	4.254	25.946	8.939	8.432	2.871	35.868
ENDOG	1.353	0.671	1.518	0.8	1.474	0.905	3.299	0.784	4.486	4.69	0.942	0.405	3.577	5.505	3.24	0.955	6.423	3.408	0.617	1.533	0.597	2.449	0.58	1.859	0.851	2.35	3.46	2.437	0	3.697
ENDOU	0.082	0	0.071	0.019	0	0.047	0.135	0.133	0.038	0.11	0.05	0	0.115	0.051	0.042	0	0.036	0	0.044	0	0	0.095	0.068	0	0.074	0	0.095	0	0	0
ENDOV	0.14	0.214	0.176	0.273	0.536	0.48	0.309	0.146	0.266	0.541	0.233	0.166	0.557	0.735	0.442	0.518	0.669	0.179	0.21	0.209	0	1.182	0.148	0.475	0.29	0.3	0.139	0.113	0.138	0.454
ENG	2.382	2.192	1.675	2.351	1.338	1.91	0.857	1.839	2.241	2.054	1.189	3.482	3.58	2.327	2.038	2.002	2.593	6.011	3.045	3.021	2.781	2.193	2.598	1.498	2.533	2.035	1.969	2.103	1.163	2.861
ENGASE	17.467	4.869	11.628	3.865	4.106	3.409	6.74	4.795	3.512	4.502	5.99	3.323	1.941	3.069	8.012	4.813	3.526	16.31	4.186	5.625	1.978	2.652	2.476	4.144	5.973	2.295	14.936	3.782	0.827	2.261
ENHO	0.063	0.045	0	0	0.104	0.107	0	0	0.044	0.126	0.091	0.688	0.491	0.047	0.019	0	0.027	0	0	0	0	0	0	0	0.056	0.208	0	0	0	0
ENKD1	0.789	0.562	1.017	0.447	1.317	0.899	1.011	0.531	1.348	1.922	0.717	1.025	1.24	1.656	1.085	0.685	1.044	1.171	0.53	1.598	0.667	0.608	0.324	1.038	0.277	0.583	0.303	1.155	0.302	0.991
ENKUR	0.09	0.103	0.4	0.074	0.226	0.031	0.208	0.044	0.151	0.29	0.138	0.099	0.879	0.142	0.64	0.206	0.429	0.048	0.131	0.188	0.046	0.063	0	0.071	0.114	0.3	0.499	0	0	0.136
ENO1	76.742	31.156	38.488	13.439	127.815	10.411	188.268	39.571	138.318	121.389	17.101	15.396	119.262	89.589	98.758	17.343	124.022	145.159	20.51	100.909	17.97	66.087	15.827	66.331	21.744	107.125	97.51	110.378	15.283	80.586
ENO2	1.891	2.951	4.118	2.269	1.904	4.279	2.353	2.628	2.295	3.906	2.388	1.455	1.865	2.237	1.335	2.156	2.541	1.586	1.459	16.156	4.021	2.507	1.988	8.894	2.387	1.296	1.635	5.13	2.397	1.817
ENO3	1.324	0.283	1.412	0.27	1.584	0.151	0.946	0.16	0.926	0.799	0.562	0.304	0.717	0.875	0.702	0.424	0.688	1.415	0.392	0.575	0.336	1.224	0.109	1.045	0.558	0.22	0.916	0.664	0.304	1.109
ENO4	0.118	0.017	0.073	0.112	0.059	0.04	0.207	0.142	0.033	0.095	0.017	0	0.136	0.062	0.101	0.028	0.041	0.021	0.057	0.061	0	0	0.058	0	0.127	0.039	0	0.044	0	0.059
ENOPH1	10.973	4.289	9.271	4.642	10.113	2.116	14.083	5.836	15.933	19.108	3.019	2.21	10.186	13.046	16.425	3.037	16.23	19.166	4.509	14.904	2.207	8.934	3.216	10.172	3.959	8.462	16.895	8.942	1.961	8.24
ENOSF1	2.85	1.822	4.846	2.005	7.933	4.706	4.9	2.582	5.715	6.162	6.541	4.527	6.249	5.597	6.989	3.866	5.803	4.308	2.045	1.618	1.051	4.351	1.651	1.395	2.102	2.777	2.401	1.582	0.882	4.163
ENOX1	0.474	0.337	0.556	0.337	0.288	1.104	0.497	0.339	0.512	0.208	0.086	0.207	0.418	0.306	0.283	0.129	0.41	0.499	0.313	0.168	0.546	0.672	0.531	0.17	0.447	0.358	0.298	0.527	0.223	0.162
ENOX2	1.916	1.273	1.778	1.095	1.909	1.019	2.664	2.087	2.725	3.507	0.914	0.754	2.422	2.766	2.537	1.123	2.909	8.365	1.534	7.468	1.798	1.955	1.191	3.688	1.222	1.447	2.674	1.819	0.444	2.105
ENPEP	1.228	8.33	0.975	0.578	0.597	0.369	1.668	0.588	0.906	0.766	0.157	0.316	0.976	0.515	0.446	0.195	0.987	0.973	0.414	1.3	0.616	0.561	0.366	0.533	0.378	0.292	0.7	1.777	0.326	0.746
ENPP1	0.969	0.935	0.916	0.462	1.036	0.728	0.388	0.45	3.001	3.367	1.133	0.71	2.387	4.567	1.039	0.457	3.616	0.549	0.643	2.17	0.873	3.391	0.87	1.216	0.245	1.702	0.282	3.426	0.624	4.688
ENPP2	1.708	1.259	1.69	1.312	0.873	2.336	0.817	0.609	6.507	4.101	1.111	1.826	20.694	7.437	6.467	2.174	16.015	8.289	0.924	2.932	1.733	7.875	0.793	1.984	1.834	5.417	5.422	4.161	1.247	5.556
ENPP3	4.024	1.562	16.478	4.373	1.707	1.201	30.172	5.313	5.568	4.07	1.007	1.465	8.881	6.724	1.016	0.768	8.751	5.69	1.048	0.998	0.648	4.947	1.522	0.673	1.885	4.534	10.898	1.082	0.22	7.277
ENPP4	2.059	2.379	5.074	2.242	4.472	1.354	8.45	2.773	8.679	11.016	2.357	1.149	10.171	11.438	10.151	2.233	13.887	8.453	3.764	5.964	1.899	8.987	2.094	4.946	1.483	5.343	5.428	2.927	0.943	6.911
ENPP5	0.984	0.587	1.938	0.779	1.51	0.391	2.403	0.804	1.025	4.958	0.891	1.008	3.264	2.253	4.09	0.757	1.458	2.203	1.164	2.207	0.697	2.303	0.621	1.537	0.641	0.686	1.267	1.336	0.158	1.036
ENPP6	0.086	0.11	0.035	0.175	0.029	0.117	0.103	0.041	0.395	0.179	0.087	0.047	0.484	0.871	0.094	0.041	0.808	0.198	0.097	0.089	0.043	0.772	0.042	0.068	0.031	0.342	0.178	0.097	0	0.817
ENPP7	0	0.052	0.038	0	0	0.063	0	0	0	0.015	0	0.05	0.058	0.041	0.034	0.066	0.048	0	0.03	0	0	0	0	0	0	0.122	0.253	0	0	0.092
ENSA	12.744	11.022	14.092	11.332	14.727	10.005	36.277	23.316	26.385	29.136	10.446	7.585	18.665	29.497	23.102	9.449	31.036	25.721	12.83	13.128	6.268	21.873	9.697	8.537	9.281	16.338	12.989	11.505	5.941	16.71
ENTHD1	0.099	0.071	0.051	0.051	0.021	0	0.178	0	0.035	0.07	0	0	0.013	0.009304	0.015	0.015	0.011	0	0.08	0	0.063	0	0.061	0	0	0	0	0.094	0	0
ENTHD2	0.795	0.546	0.973	0.701	0.984	0.856	0.745	0.714	0.989	0.7	0.622	0.771	0.71	1.047	0.64	0.691	0.983	2.179	1.046	2.226	0.673	0.307	0.218	0.814	0.825	0.539	0.306	0.444	0.102	0.666
ENTPD1	1.701	1.953	2.248	2.251	1.386	2.062	1.377	1.817	1.99	5.524	4.359	1.653	5.168	2.633	1.761	1.494	3.412	4.235	3.183	1.262	2.812	2.002	1.97	1.038	2.389	1.132	2.086	2.659	1.706	2.514
ENTPD2	0.738	0.48	0.861	0.742	0.562	0.439	0.282	0.272	0.157	1.291	1.33	0.574	0.319	0.096	0.647	0.655	0.097	0.2	0.492	0.752	0.163	0.111	0.316	0.38	0.608	0.107	1.109	0.724	0.663	0.242
ENTPD3	0.193	0.069	0.075	0.148	0.161	0.371	1.034	0.175	0.574	0.398	0.097	0.033	1.644	0.785	0.384	0.189	0.481	0.086	0.078	0	0.061	0.502	0.119	0	0.218	0.361	0	0.045	0	0.182
ENTPD4	5.942	5.574	8.49	5.735	6.602	5.821	6.241	5.454	11.97	11.364	5.313	5.741	11.694	12.289	11.268	5.886	12.249	8.388	3.67	8.335	4.145	8.084	3.774	5.189	5.326	6.255	5.454	4.904	2.797	7.725
ENTPD5	3.669	3.453	10.632	4.233	4.951	11.648	10.656	3.77	35.804	25.684	8.665	11.317	51.756	58.998	17.244	5.474	72.173	4.699	2.881	6.486	1.08	40.101	3.391	4.786	4.794	20.931	14.049	2.898	1.355	37.788
ENTPD6	3.001	2.033	8.258	4.081	10.328	3.545	7.843	3.606	10.202	11.164	7.03	7.354	11.838	12.178	11.716	6.173	14.624	20.539	8.958	10.868	3.651	9.899	2.225	8.67	5.422	8.809	10.041	4.362	1.43	7.787
ENTPD7	1.811	2.563	2.914	2.389	3.084	2.06	2.29	1.784	6.554	3.985	1.562	1.865	7.149	3.961	3.746	2.145	4.534	4.8	3.331	4.432	2.158	3.196	1.786	3.172	2.071	3.945	2.07	2.535	1.276	3.682
ENTPD8	0.606	0.238	0.892	0.846	0.684	1.4	1.116	0.257	2.948	1.221	0.629	1.586	5.038	4.834	1.735	0.492	5.621	0.648	0.392	0.237	0.077	2.524	0.299	0.239	0.657	1.362	0.42	0.171	0	2.439
ENY2	6.138	3.193	6.465	2.392	9.08	2.555	9.563	4.289	13.697	14.953	2.074	1.993	8.554	13.3	9.268	2.1	15.374	10.445	1.967	10.421	2.683	11.401	4.647	6.808	2.638	7.421	4.851	7.443	1.982	8.493
EOGT	2.377	1.554	7.033	3.278	3.929	2.116	5.118	1.973	5.785	5.224	1.369	1.188	7.526	3.266	3.492	1.674	4.873	8.675	2.576	2.757	2.644	2.598	2.448	2.572	2.516	3.224	2.028	3.249	1.572	2.374
EOMES	0.22	0.488	0.328	0.316	0.102	0	0.161	0.089	0.205	0.187	0.08	0.034	0.68	0.238	0.075	0.162	0.244	0.305	0.039	0	0.372	0.085	0.181	0	0.133	0.041	0.085	0.184	0.169	0.184
EP300	11.344	9.016	15.398	11.497	14.315	10.94	11.931	8.516	13.553	13.277	9.761	11.952	14.409	11.886	9.107	10.115	10.816	9.846	6.734	10.299	6.321	8.828	6.408	7.106	7.428	6.476	5.64	9.048	3.129	9.549
EP400	5.771	3.245	6.549	3.787	6.674	3.638	5.201	4.427	3.894	4.545	4.335	4.405	3.569	3.003	3.382	4.301	2.372	3.378	3.77	6.713	3.206	2.068	1.834	3.651	3.87	2.248	2.857	2.605	1.094	3.093
EPAS1	8.882	7.961	10.856	8.32	4.814	9.722	5.067	5.925	29.525	22.706	8.391	10.413	22.536	23.599	16.051	11.109	34.5	18.267	11.263	13.456	7.445	18.772	10.417	8.652	9.109	20.25	11.775	9.919	5.711	26.093
EPB41	11.255	8.207	5.377	3.241	9.219	5.694	13.059	6.279	15.772	11.659	5.175	6.545	16.449	17.673	13.145	7.287	17.143	12.46	9.679	9.067	3.151	14.67	3.273	5.666	4.005	8.963	5.038	5.16	1.994	11.923
EPB41L1	2.074	2.223	2.285	2.306	2.34	2.626	2.899	3.54	3.55	5.174	4.863	4.516	2.592	2.53	3.362	3.585	3.486	6.762	7.936	5.145	2.53	2.421	2.925	2.757	3.496	2.39	1.345	2.422	1.41	2.682
EPB41L2	39.192	25.513	61.147	24.562	39.847	13.052	73.986	33.064	42.915	48.4	23.769	11.336	25.184	17.392	38.305	21.944	27.028	19.533	8.711	36.718	8.938	20.414	22.161	23.575	13.794	27.432	30.662	36.978	7.665	13.494
EPB41L3	1.303	3.648	1.15	1.371	1.025	4.275	0.483	0.826	8.956	1.086	0.634	2.295	6.282	13.725	1.293	0.692	16.03	6.062	2.14	1.106	1.422	11.563	1.868	1.077	1.999	6.204	3.932	2.739	0.941	13.712
EPB41L4A	1.016	0.765	0.886	0.681	2.092	2.374	0.519	0.572	6.377	3.428	2.063	2.148	5.604	4.934	0.779	0.895	4.867	3.227	1.432	4.923	2.179	4.319	1.411	3.109	1.358	3.049	0.644	0.512	0.296	2.267
EPB41L4B	5.764	5.158	10.053	5.584	5.342	5.582	8.632	3.667	23.44	21.149	6.068	5.027	28.444	33.441	16.008	6.077	33.423	10.513	6.832	11.073	2.188	26.947	3.167	7.783	5.279	15.902	11.719	5.731	1.335	26.053
EPB41L5	3.221	2.27	3.808	2.029	2.922	1.519	2.482	1.528	3.448	3.592	1.439	1.064	2.634	3.426	2.133	1.292	3.707	5.16	2.884	5.036	2.34	3.41	2.24	3.455	1.942	2.347	4.739	2.055	0.655	3.17
EPB42	0.053	0	0.055	0.018	0	0	0.044	0	0	0.011	0	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPB49	1.868	1.608	4.29	2.681	2.126	1.615	3.847	2.736	2.857	5.181	1.681	3.504	3.486	3.104	3.039	2.271	3.477	2.378	0.911	5.242	0.99	3.346	0.455	2.027	2.652	2.221	2.201	1.468	0.212	2.116
EPC1	6.315	2.982	12.521	4.609	10.758	5.26	9.686	5.632	11.258	12.234	5.201	4.362	11.504	10.205	9.637	4.533	12.123	7.007	3.696	7.352	3.227	10.268	3.022	5.389	4.117	5.35	7.441	5.442	2.233	6.918
EPC2	5.607	4.033	10.915	6.029	9.472	2.942	11.482	6.658	13.097	17.348	4.653	4.279	11.55	14.058	10.586	3.348	14.404	11.179	4.973	12.342	5.023	13.157	3.193	10.523	3.979	7.514	8.833	5.469	1.468	6.511
EPCAM	239.476	135.083	285.416	88.449	451.214	100.579	302.299	115.314	902.546	668.656	111.639	89.56	566.226	853.283	492.414	101.582	968.413	473.853	75.803	374.271	53.826	630.157	122.389	256.768	118.875	613.019	510.622	407.145	74.238	666.536
EPDR1	2.762	3.829	6.974	3.371	0.474	1.054	4.025	4.482	4.691	10.046	2.226	1.154	5.183	3.415	0.581	0.563	6.377	11.558	4.518	5.14	2.69	3.336	4.316	3.409	4.167	2.586	8.872	9.935	2.211	3.781
EPG5	1.847	1.432	2.473	1.397	2.898	1.433	3.4	2.108	2.534	3.182	2.28	1.928	3.501	2.965	2.558	1.99	2.655	2.378	1.473	1.949	1.548	1.932	1.269	1.425	1.414	1.245	1.248	1.778	0.659	2.107
EPGN	0.1	0.071	0.09	0.238	0.063	0.043	0.192	0.091	0	0.06	0.018	0.034	0.026	0.009356	0.015	0.03	0	0	0.02	0	0.063	0	0	0	0.045	0	0.086	0	0	0
EPHA1	3.967	0.985	1.509	0.586	5.42	0.617	1.112	0.316	2.326	5.064	1.385	0.579	2.257	1.979	5.939	1.385	2.708	4.48	1.035	1.566	0.508	2.223	0.296	1.661	0.507	1.9	2.148	4.563	0.414	2.417
EPHA10	0.375	0.433	0.293	0.193	1.389	1.543	0.513	0.356	2.007	1.261	1.535	1.242	0.898	1.795	1.992	1.116	2.499	0.136	0.196	0.661	0.18	1.336	0.15	0.28	0.376	1.215	0.351	0.267	0.07	1.3
EPHA2	5.881	1.513	3.044	1.144	6.061	1.308	8.79	2.903	12.196	5.774	2.591	0.866	3.002	3.352	2.579	1.594	12.486	3.332	1.454	8.68	2.458	2.476	1.676	6.376	1.305	2.8	5.174	5.791	1.582	7.433
EPHA3	0.323	0.244	0.511	0.625	0.143	0.639	0.411	0.526	2.033	0.833	0.253	0.306	1.402	3.438	0.315	0.382	2.436	0.926	0.88	0.658	1.562	3.081	0.697	0.518	0.638	0.605	0.663	0.95	0.905	0.431
EPHA4	1.56	0.416	1.95	0.57	3.279	1.307	6.515	1.414	2.917	5.571	1.954	1.315	5.051	4.099	4.679	1.601	4.749	1.4	0.471	0.415	0.889	2.761	0.602	0.293	1.016	1.713	0.587	0.759	0.659	1.601
EPHA5	0.103	0.012	0.044	0.07	0	0.073	0.132	0.01	0.084	0.131	0	0	0	0.051	0.002623	0	0.022	0.007639	0.028	0.045	0.044	0	0	0	0.023	0	0	0.048	0	0
EPHA6	0.16	0.046	0.041	0.13	0.027	0.956	0.237	0.019	0.022	0.122	0.017	0	0	0	0.009773	0	0.028	0.028	0.232	0	0.324	0.055	0.118	0	0.563	0	0.111	0	0	0
EPHA7	0.213	0.296	1.23	0.855	0.034	5.271	0.29	0.233	1.39	0.376	0.173	0.209	1.446	2.619	0.301	0.36	1.968	0.443	0.295	0.502	0.695	1.864	0.425	0.32	0.852	0.338	0.21	0.057	0.035	0.637
EPHA8	0.012	0	0	0.025	0.01	0.021	0.014	0	0	0	0	0	0	0	0.003809	0	0.011	0	0	0.032	0	0	0	0	0	0	0	0	0	0
EPHB1	0.086	0.062	0.156	0.147	1.335	0.493	0.261	0.244	0.03	0.041	0.026	0.119	0.151	0.119	0.022	0.052	0.044	2.785	2.023	0.225	0.146	0.15	0.071	0.057	0.078	0.072	0.1	0.027	0	0
EPHB2	29.947	10.871	17.06	10.268	20.129	3.596	38.206	14.786	13.181	42.009	11.672	10.191	16.557	14.215	18.126	8.127	16.915	31.945	13.446	16.296	2.808	17.901	2.695	10.929	14.327	7.876	29.199	20.579	3.626	10.051
EPHB3	24.605	7.517	8.692	5.549	9.119	1.092	38.168	8.898	5.181	14.833	4.793	2.681	4.41	2.91	5.309	1.919	2.891	8.763	3.157	4.617	1.053	3.322	1.22	2.837	8.265	1.754	13.586	10.85	1.486	1.726
EPHB4	4.925	2.051	6.265	3.412	5.573	1.853	10.067	4.803	6.173	14.48	4.108	3.091	4.699	4.462	11.042	4.636	6.097	9.106	3.312	4.882	2.043	4.135	1.832	3.608	3.777	3.118	6.16	3.411	1.495	2.18
EPHB6	0.133	0.095	0.129	0.045	0.125	0.256	0.11	0.101	0.21	0.094	0.085	0.092	0.052	0.143	0.041	0.06	0.18	0.148	0.081	0.087	0.169	0.231	0.082	0	0.105	0.055	0	0.596	0.172	0.084
EPHX1	1.73	2.264	2.369	2.33	2.654	2.355	3.804	1.583	4.025	6.823	3.161	2.139	3.886	7.004	4.299	2.441	7.005	2.202	1.653	1.288	1.881	7.103	2.002	0.558	2.68	3.056	1.954	1.928	1.096	4.171
EPHX2	6.397	3.649	3.867	1.491	4.204	3.848	4.411	1.471	7.581	20.206	6.725	3.71	15.087	20.405	14.731	4.842	23.065	4.354	1.601	9.568	1.953	19.618	1.241	8.537	2.515	7.491	2.254	4.126	1.123	16.451
EPHX3	0.104	0.025	0.054	0.024	0.116	0.059	0.057	0.084	0.024	0.056	0.038	0	0.036	0	0.021	0.042	0.015	0.093	0.084	0.091	0.088	0	0.086	0	0.063	0	0	0.065	0	0
