Feature.ID	P1_FF_RPKM_fwd_RNA.Seq	P1_FFPE_RPKM_fwd_RNA.Seq	P2_FF_RPKM_fwd_RNA.Seq	P2_FFPE_RPKM_fwd_RNA.Seq	P3_FF_RPKM_fwd_RNA.Seq	P3_FFPE_RPKM_fwd_RNA.Seq	P4_FFPE_RPKM_fwd_RNA.Seq	P4_FF_RPKM_fwd_RNA.Seq	P5_FFPE_RPKM_fwd_RNA.Seq	P5_FF_RPKM_fwd_RNA.Seq	P6_FF_RPKM_fwd_RNA.Seq	P6_FFPE_RPKM_fwd_RNA.Seq	P7_FFPE_RPKM_fwd_RNA.Seq	P7_FF_RPKM_fwd_RNA.Seq
C1orf226	0.615	0.598	0.682	0.247	1.302	0.179	0.526	0.887	0.566	0.659	0.903	0.544	0.815	0.536
C1orf227	0	0	0	0	0.365	0	0	0	0	0.142	0	0	0	0
C1orf228	0.411	0.362	0.215	0.156	0.475	0.113	0.159	0.468	0.26	0.895	0.759	0.239	0.105	0.526
C1orf229	0.272	0.72	0.128	0	0.163	0.253	0.158	0.125	0.048	0.159	0.297	0.089	0.039	0.112
C1orf233	0.074	0	0.208	0.084	0.177	0	0	0.108	0	0.034	0.029	0.144	0.043	0.061
C1orf27	3.492	3.548	19.998	5.987	16.767	1.565	3.673	13.42	2.417	12.519	16.341	1.728	2.304	19.167
C1orf35	1.49	0.394	4.158	0.816	4.291	0	0.347	3.883	0.17	2.617	2.692	0.39	0.413	3.535
C1orf43	7.168	5.301	44.715	12.937	37.139	5.219	10.791	26.095	7.038	23.503	28.151	8.048	7.07	28.298
C1orf50	0.985	1.502	4.713	2.419	4.484	0.563	0.705	2.828	1.079	3.114	2.581	0.792	1.138	2.995
C1orf51	0.971	0.583	1.248	0.302	2.507	0.656	0.462	1.292	0.503	1.237	1.294	0.404	0.561	0.873
C1orf52	0.918	0.934	2.509	0.484	2.657	0.058	0.329	2.535	0.537	1.342	2.464	0.677	0.218	2.193
C1orf53	0.225	0	0.318	0.128	0.09	0	0	0.082	0	0	0.803	0	0	0.464
C1orf54	1.604	1.736	1.788	1.664	6.186	4.7	2.885	7.903	3.324	2.181	3.237	2.67	3.372	1.683
C1orf56	1.236	0.594	3.389	0.641	2.097	2.598	0.871	1.453	0.48	1.435	1.187	1.713	1.731	1.45
C1orf61	0.962	2.197	0	0	0	0	0	0	0.249	0	0	0	0.202	0
C1orf63	7.503	3.052	30.475	6.465	43.456	0.39	3.48	30.926	5.306	41.532	34.516	2.538	1.395	41.98
C1orf64	0.587	0	0.079	0	8.385	0	0.293	0.43	0	1.488	0.199	0.219	0.097	22.034
C1orf65	0.11	0	0	0	0	0	0	0	0	0	0	0.096	0	0
C1orf68	0.677	0	0	0	0	0.21	0.197	0	0.121	0	0	0	0	0
C1orf74	0.788	0.456	1.625	0.281	1.931	0.122	0.229	1.695	0.561	1.104	1.873	0.644	0.398	1.664
C1orf85	3.447	0.988	10.18	2.369	9.172	1.029	1.933	8.179	2.721	9.43	12.705	3.04	1.584	9.786
C1orf86	0.523	0.744	0.512	0.459	0.627	0.199	0.515	0.604	0.401	0.545	0.51	0.71	0.442	0.613
C1orf87	1.099	0	0.286	0	0	0	0	0.028	0.108	0.142	0	0.149	0	0
C1orf94	0.414	0	0	0.028	0	0	0.028	0	0.486	0	0	0.446	0.085	0
C1orf95	0.359	0.528	1.449	0.865	0.208	0.321	0.534	1.161	0.526	0.14	0.925	1.135	0.358	0.296
C1QA	0.28	2.869	0.924	0.639	4.538	0.521	0.652	3.691	0.1	1.897	1.054	0.458	0.324	1.211
C1QB	1.325	6.911	2.499	1.764	11.489	0.73	1.628	8.14	1.573	7.638	3.793	2.214	1.702	4.368
C1QBP	7.667	3.932	52.846	6.183	61.986	1.802	3.999	35.859	1.977	28.845	42.589	1.728	1.91	41.554
C1QC	1.678	4.522	0.852	1.767	4.751	3.999	3.004	4.584	1.655	3.619	1.688	2.109	2.462	1.223
C1QL1	0.256	2.439	0	0.058	0.164	0	0.06	0.15	0	0	0.487	0.268	0.118	0
C1QL2	0.038	0	0	0	0	0.093	0	0	0.053	0	0	0.098	0.043	0
C1QL3	0.339	0.041	0.116	0.035	0.518	0.076	0	0.023	0.22	0.634	0.269	0.161	0.071	0.635
C1QL4	0.223	0	0	0	0	0.277	0	0	0.106	0	0.03	0.146	0.043	0
C1QTNF1	1.552	2.564	0.947	0.521	2.227	0.961	1.168	3.425	1.592	1.983	3.996	1.939	0.923	1.41
C1QTNF2	0.414	0.295	0.06	0.036	0.383	0	0.185	0.444	0.272	0.149	0.303	0.083	0.405	0.21
C1QTNF3	2.491	2.736	2.292	1.65	0.788	0.349	0.725	1.044	0.63	1.277	1.513	0.184	0.465	1.242
C1QTNF4	0	0	0	0	0	0.539	0	0.199	0	0.051	0.043	0.284	0	0
C1QTNF5	0.02	0.026	0.148	0.067	0.283	0.097	0.046	0.517	0.056	0.22	0.187	0.205	0.068	0.097
C1QTNF6	0.393	0.138	0.272	0.358	0.482	0.13	0.518	0.575	0.186	0.367	0.664	1.095	0.515	0.453
C1QTNF7	1.525	1.974	0.764	1.033	2.008	2.047	1.497	2.047	1.086	1.188	1.989	0.872	1.836	2.513
C1QTNF8	0.203	0	0	0	0	0.056	0	0	0.064	0	0	0.089	0	0
C1QTNF9	0.463	0	0	0	0.034	0	0	0.154	0.12	0	0.067	0	0	0.104
C1QTNF9B	0.307	0	0	0	0.368	0	0	0.112	0.219	0.143	0.061	0	0	1.011
C1QTNF9B-AS1	0.51	0	0.481	0.484	5.641	0.632	0.395	1.182	2.057	21.59	1.144	0.444	2.848	36.323
C1R (NC_000012 7187512..7189412)	5.584	20.673	8.672	5.621	23.342	4.234	5.962	52.962	2.339	12.648	21.505	3.607	5.696	16.403
C1R (NC_000012 7241204..7245043)	8.961	14.809	12.805	3.354	34.956	1.041	4.398	70.685	1.197	16.945	30.906	2.471	2.104	21.92
C1RL	2.013	3.978	7.529	3.148	7.494	1.009	2.448	8.944	1.643	3.826	7.154	2.514	1.674	7.605
C1S	9.27	18.908	11.009	9.702	22.998	6.1	9.64	50.175	6.349	14.975	23.906	7.007	7.208	15.953
C2	0.903	1.262	14.427	4.327	3.489	0.384	1.171	2.286	0.515	3.81	2.638	1.484	0.328	7.144
C20orf111	1.918	1.721	9.948	2.735	8.854	1.104	2.551	6.496	1.561	4.29	5.403	0.493	1.861	5.956
C20orf112	0.947	1.921	2.075	1.482	1.876	1.118	1.409	3.215	1.144	1.923	2.198	1.64	0.713	2.05
C20orf118	0.753	0.149	0.107	0.172	0.211	0.28	0.219	0.11	0.429	0.106	0.328	0.443	0.131	0.093
C20orf132	0.99	0.724	0.517	0.216	0.54	0.052	0.441	0.787	0.42	0.335	0.484	0.358	0.122	0.347
C20orf141	0	0	0	0	0	0	0.238	0	0.437	0	0	0.268	0	0
C20orf144	0	0	0	0	0	0	0.157	0	0	0	0.321	0	0	0.111
C20orf151	0.434	0.251	1.842	0.217	1.151	0	0.189	0.854	0.309	1.521	1.247	0.426	0.063	1.297
C20orf152	0.638	0	0	0.046	0.096	0.099	0.093	0	0.227	0.037	0	0.261	0.092	0.099
C20orf160	0.273	0.08	0.315	0.035	0.243	0.226	0.071	0.489	0.13	0.142	0.457	0.159	0.211	0.325
C20orf166	0.189	0	0.059	0	0	0.468	0.147	0.231	0.09	0	0	0.659	0	0
C20orf173	0.508	0	0	0	0	0	0	0	0.103	0	0	0.474	0.168	0
C20orf194	2.27	2.192	2.119	1.904	3.543	1.131	2.33	6.012	2.298	3.899	4.171	2.095	1.672	3.309
C20orf195	0.138	0	0.065	0	0.111	0.514	0	0.101	0	0.065	0.055	0.181	0	0.057
C20orf196	0.799	0.793	1.507	0.228	0.693	0	0.31	0.927	0.474	1.12	0.634	0.261	0	0.933
C20orf197	0.366	0.074	0	0.096	0.135	0.07	0.033	0.185	0.2	0.421	0.134	0.037	0	0.162
C20orf20	0.658	0.248	3.101	0.965	3.76	0.116	0.656	2.752	0.87	1.581	2.644	0.491	0.326	2.594
C20orf201	0.089	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf202	0.575	0	0	0	0.038	0	0	0	0.273	0.045	0	0.313	0.111	0
C20orf203	0.401	0.085	0	0.037	0.026	0.04	0.037	0.035	0.388	0.015	0.102	0.566	0.204	0.026
C20orf24	0.404	0.356	5.141	0.921	9.803	0	0.078	6.259	0	3.523	4.748	0	0.778	4.271
C20orf26	0.51	0	0.031	0.019	0.013	0.041	0.077	0.024	0.094	0.031	0.091	0.172	0.076	0.041
C20orf27	0.125	0.441	1.416	0.19	1.002	0.827	0.777	1.344	0.951	0.585	0.86	1.691	0.338	0.997
C20orf43	7.319	7.457	33.711	3.829	34.951	1.964	2.82	28.26	1.992	17.991	28.227	2.011	1.778	26.887
C20orf72	1.41	2.055	4.875	2.31	3.53	0.538	1.136	4.553	1.184	4.426	4.327	0.709	0.627	3.605
C20orf78	0.474	0	0	0	0	0	0	0	0	0	0	0.465	0	0
C20orf79	0.115	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf85	0.607	0	0	0	0	0	0	0	0.432	0	0	0.132	0	0
C20orf94	1.694	1.589	3.348	1.122	3.322	0.271	0.699	2.88	0.7	5.106	3.507	0.5	0.379	4.277
C20orf96	2.103	1.074	2.299	1.254	3.098	0.948	0.556	2.205	0.613	2.77	6.706	1.312	0.276	2.245
C21orf2	0.66	1.563	1.322	0.282	1.563	0.273	0.224	1.631	0.392	1.773	1.439	0.719	0.382	1.36
C21orf33	3.643	4.328	11.261	3.314	14.132	1.6	3.219	11.006	2.43	8.446	10.891	3.496	2.879	12.652
C21orf56	0.465	0.219	0.469	0.114	2.55	0	0.193	1.555	0.189	0.682	1.526	0.391	0.23	1.668
C21orf58	0.337	0.411	0.317	0.236	0.642	0.449	0.211	0.474	0.111	0.46	0.677	0.372	0.18	0.341
C21orf59	4.202	1.424	22.5	3.564	29.699	0.935	1.191	22.284	1.534	14.498	24.463	1.338	0.747	18.42
C21orf62	0.727	0.444	0	0.085	0.119	0.046	0.846	0.355	0.372	0.017	0.222	0.024	0.388	0.415
C21orf7	1.001	0.712	0.508	0.922	0.339	0.668	0.672	0.62	0.164	0.683	1.281	0.252	0.578	1.364
C21orf91	1.005	0.86	2.428	1.162	2.808	0.596	1.004	3.232	0.746	2.552	2.691	0.573	0.785	2.471
C22orf13	3.58	4.001	12.659	3.501	18.519	2.324	3.521	11.781	3.309	12.567	12.989	3.622	1.651	14.592
C22orf15	0.534	0	0	0.203	0	0	0.104	0.065	0.38	0	0	0.116	0	0
C22orf23	0.459	0.253	0.18	0.044	0.122	0.095	0.044	0.112	0.272	0.071	0.121	0.35	0	0
C22orf24	0.493	0	0	0	0.247	0.153	0.143	0.045	0.351	0	0	0.081	0	0.152
C22orf25	1.591	1.208	2.553	1.699	5.769	0.755	1.103	4.139	0.675	2.183	2.683	1.283	1.487	3.068
C22orf26	0.251	0.055	0.118	0.096	0.067	0	0.097	0.092	0.179	0.117	0.166	0.602	0	0.034
C22orf28	3.981	2.705	19.154	2.589	26.527	1.383	2.597	17.925	1.06	13.282	19.079	1.167	1.678	18.149
C22orf29	0.023	0	0.011	0	0	0	0	0.017	0	0.032	0.037	0	0	0.067
C22orf31	0.647	0	0	0	0.23	0	0	0.158	0	0	0.114	0	0	0.237
C22orf32	2.104	2.07	5.582	2.233	4.229	0.849	1.879	3.188	2.23	4.39	4.886	2.303	2.263	4.153
C22orf39	1.104	1.313	4.162	1.605	5.166	0.821	1.605	4.929	1.218	3.197	4.789	1.767	1.914	3.296
C22orf42	0.477	0	0	0	0	0.237	0	0.21	0.136	0	1.968	0.499	0	0.157
C22orf43	1.774	0	0.335	0.405	0.568	0	0.069	0.823	0.674	0.497	0.328	0.696	0.137	0.146
C22orf46	1.143	1.491	1.02	0.582	1.113	0.191	0.485	1.335	0.88	1.256	1.176	0.788	0.464	0.878
C2CD2	1.545	1.823	2.97	2.034	12.338	1.444	2.324	7.016	2.083	7.343	4.476	1.476	1.608	8.581
C2CD2L	0.621	0.365	1.257	0.656	2.391	0.456	0.776	1.734	0.655	1.611	0.947	1.052	0.213	1.61
C2CD3	1.799	1.1	2.85	1.675	2.996	1.122	1.495	2.634	0.993	2.436	3.065	1.664	0.538	2.561
C2CD4A	0.335	0	0.021	0.051	0.25	0	0.078	0.245	0.095	0.063	0.035	0.146	0.258	0.221
C2CD4B	0.049	0.064	0.138	0.223	0.663	0.242	0.113	1.75	0.139	0.182	0.039	0.255	0.338	0.121
C2CD4C	0.049	0.098	0.07	0.112	0.059	0	0	0.072	0.035	0.023	0.02	0.418	0.171	0.041
C2CD4D	0.224	0.059	0.169	0	0.144	0	0.157	0.164	0	0.126	0.036	0.235	0	0.111
C2orf15	0.645	0	1.47	0.491	2.194	0	0.751	0.945	0.23	1.055	1.917	0.281	0.435	1.019
C2orf16	0.545	0	0.023	0.028	0	0.123	0.043	0.009076	0.035	0	0.009825	0.065	0.029	0
C2orf18	2.201	2.91	5.021	2.376	10.299	1.412	2.606	7.409	2.603	7.106	7.865	2.672	1.795	7.95
C2orf27A	0.82	0	0.951	0.504	0.959	0	0	1.016	0.09	1.296	1	0.577	0.729	0.779
C2orf27B	0.522	0.23	0	0.066	0.279	0	0	0.212	0.083	0.054	0	0	0	0
C2orf29	2.229	2.139	7.052	2.02	13.68	1.135	1.598	9.522	2	7.988	9.339	1.676	0.953	9.634
C2orf40	0.784	1.296	1.756	0.783	6.433	0	1.369	10.409	0.698	0.733	3.963	1.025	2.04	4.12
C2orf42	1.096	1.49	2.469	0.834	3.144	0.604	0.638	2.297	0.651	1.992	2.028	0.199	0.599	2.434
C2orf43	1.023	0.569	0.508	0.583	2.908	0.267	0.282	2.917	0.422	4.527	1.28	0.176	0.591	3.637
C2orf44	0.849	0.679	1.247	0.36	2.827	0.44	0.436	2.009	0.562	1.42	2.096	0.645	0.342	2.245
C2orf47	0.864	0.605	4.218	1.218	5.533	0.504	1.006	4.951	0.579	3.088	5.077	0.133	0.764	4.44
C2orf48	0.422	0	0	0	0	0.262	0	0	0.15	0	0	0	0	0
C2orf49	2.686	1.489	11.848	3.361	11.442	0.43	0.807	14.34	0.247	9.313	10.234	0.34	0.501	10.354
C2orf50	0.291	0.577	0	0	0.058	0.18	0.169	0.053	0	0	0.115	0.19	0.168	0
C2orf53	0.447	0.049	0	0.043	0	0.369	0.087	0	0.212	0	0	0.779	0.258	0
C2orf54	0.321	0.077	0	0.1	0.047	0.145	0.17	0.107	0.208	0.055	0.093	0.535	0.304	0.265
C2orf57	0.325	0	0	0	0	0	0.063	0	0.077	0	0	0.071	0	0
C2orf61	0.774	0.085	0.122	0.11	0.026	0.24	0	0.189	0.597	0.09	0.051	0.126	0	0.106
C2orf62	0.581	0	0.055	0	0.325	0	0.068	0	0.083	0.271	0.553	0.456	0.067	0.383
C2orf65	0.725	0	0.029	0	0.024	0.15	0.106	0.089	0.387	0.113	0	0.237	0	0
C2orf66	0.409	0	0	0	0	0.169	0	0.1	0.097	0.096	0	0.134	0.118	0.084
C2orf68	1.514	1.573	4.843	2.344	5.466	1.563	2.412	4.342	1.874	4.716	5.485	2.121	1.854	4.782
C2orf69	1.093	0.382	3.752	0.894	7.392	1.124	1.343	4.756	0.881	3.488	6.03	0.189	0.81	4.383
C2orf70	0.553	0	0	0.252	0.354	0.548	0.257	0.081	0.315	0	0.701	0.434	0	0
C2orf71	0.327	0	0.031	0	0	0.054	0.063	0.007988	0.078	0.01	0	0.2	0.013	0
C2orf72	0.322	0.17	9.674	3.918	4.157	0.266	2.622	1.525	1.009	9.769	2.484	0.926	1.514	18.819
C2orf73	0.6	0.423	0.038	0.046	0.032	0.099	0.047	0.088	0.114	0.15	0.19	0	0	0
C2orf74	1.181	1.77	2.896	0.629	1.828	0.39	0.275	3.287	0.224	3.165	9.738	0.824	1.184	2.726
C2orf76	1.537	0	2.594	0.738	2.007	0	1.224	1.718	0.23	2.268	2.565	0.212	0.561	2.133
C2orf78	0.631	0	0	0	0	0	0	0	0.108	0	0	0.066	0	0
C2orf80	0.76	0	0	0	0	0	0	0.093	0	0	0	0.248	0	0
C2orf81	0.31	0.274	0.195	0.118	0.248	0.085	0.12	0.278	0.344	0.226	0.301	0.451	0.159	0.398
C2orf82	0.165	0	0	0	0	0	0	0	0	0	0	0.216	0	0
C2orf83	0.589	0	0	0	0	0	0	0	0.157	0	0	0.048	0	0
C2orf88	1.392	0.273	0.373	0.549	0.825	0.341	1.18	1.724	0.759	0.803	1.989	0.202	0.238	0.212
C2orf91	0.95	0.191	0	0	0	0	0.024	0.015	0.147	0	0.016	0.135	0.096	0
C3	4.325	11.456	5.513	6.756	16.46	1.718	3.068	33.089	1.953	6.9	15.216	3.231	2.596	9.598
C3AR1	0.511	0	0.667	0.179	1.825	0.39	0.366	1.411	0.224	1.213	0.904	0.617	0.227	0.875
C3orf14	2.702	0.132	5.285	0.343	3.284	0	0.582	4.763	0.713	7.483	3.094	0.654	1.389	2.639
C3orf17	1.662	0.628	4.178	1.697	6.281	0.902	1.16	5.62	1.443	3.505	4.553	1.179	0.97	4.616
C3orf18	0.707	0.575	0.974	0.527	1.327	0.674	0.664	1.931	0.581	0.966	1.595	0.782	0.22	0.851
C3orf20	0.601	0.031	0.044	0.053	0.074	0	0.107	0.051	0.23	0.108	0.037	0.483	0.027	0.038
C3orf22	0.244	0	0	0	0	0	0.094	0	0.578	0	0	0	0.094	0
C3orf24	0.642	0.283	0	0	0	0	0	0	0.102	0	0.057	0	0.083	0.059
C3orf27	0.456	0	0	0	0	0	0	0	0.122	0	0	0.075	0.033	0
C3orf30	0.466	0	0.04	0	0	0	0.049	0	0.302	0	0	0.055	0	0
C3orf32	0.329	0	0	0	0	0	0.048	0.03	0.059	0.038	0	0.215	0	0
C3orf33	0.557	0.368	1.689	0.454	2.071	0.888	0.463	2.099	0.397	0.967	1.988	0.937	0.598	1.87
C3orf35	1.141	0.126	0.717	0.614	0.71	0.157	0.442	0.719	0.451	0.948	0.804	0.704	0.33	0.679
C3orf36	0.184	0	0.087	0	0	0.343	0	0.034	0.328	0.043	0	0.482	0.32	0
C3orf37	1.902	2.132	4.951	1.604	5.559	1.742	1.491	5.48	1.06	2.744	4.359	1.189	1.577	4.293
C3orf38	1.754	1.121	8.653	2.567	8.42	0.942	1.462	5.714	0.957	5.517	6.556	0.153	0.71	6.141
C3orf43	1.614	0	0.08	0	0	0.105	0.099	0.031	0.181	0	0	0.389	0.049	0.035
C3orf45	0.107	0.213	0	0	0.043	0.133	0.125	0.078	0	0	0.17	0.21	0	0.044
C3orf52	1	0.352	1.131	0.342	6.772	0.495	0.62	2.464	0.664	2.211	1.083	0	0.347	1.181
C3orf55	0.25	0	0	0.041	0.086	0.089	0.125	0.105	0.051	0.267	0.17	0.14	0	0.206
C3orf58	1.506	0.642	3.345	1.394	9.87	1.161	2.434	8.798	1.597	2.612	4.284	0.853	1.838	5.806
C3orf62	0.921	0.934	1.433	0.537	1.405	0.478	0.623	1.411	0.274	2.441	1.612	0.756	0.767	1.923
C3orf67	0.874	0.04	0.199	0.034	0.193	0	0.175	0.132	0.215	0.479	0.215	0.276	0.07	0.348
C3orf70	1.042	0.654	1.732	0.743	3.69	1.227	2.531	6.619	1.429	1.656	4.161	1.618	1.641	2.662
C3orf72	0.321	0.025	0.107	0.043	0.121	0.094	0.044	0.345	0.349	0	0.06	0.345	0.218	0.047
C3orf79	0.795	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf80	0.239	0	0.45	0.204	0.382	0	0.243	0.284	0.042	0.167	0.591	0.156	0.103	0.221
C4A	0.907	0.581	3.994	2.828	6.892	0.105	1.879	36.49	0.585	3.005	11.475	2.222	0.639	5.766
C4B	0.326	1.067	1.963	1.099	5.1	0.211	1.055	22.037	0.282	1.694	6.208	1.352	0.18	2.883
C4BPA	0.617	0	0	0	0.027	0.085	0	0.025	0.146	0	0	0.045	0.04	0
C4BPB	0.321	0	0	0	0	0	0.075	0	0.183	0	0	0	0	0
C4orf17	0.658	0	0	0	0	0	0.055	0	0	0	0	0	0	0
C4orf19	0.932	0.482	0.478	0.393	0.486	0.151	0.519	1.068	0.693	0.246	0.594	0.397	0.07	0
C4orf21	0.958	0.332	1.108	0.403	1.615	0.057	0.226	1.311	0.292	1.119	1.591	0.104	0.066	1.081
C4orf22	0.813	0	0	0	0.065	0	0.095	0.059	0	0.076	0.129	0.106	0	0.268
C4orf26	0.758	0	0	0	0	0	0	0.088	0	0.037	0	0.209	0.092	0
C4orf27	1.391	1.254	6.377	1.154	5.665	1.253	0.735	5.323	0.81	3.604	5.361	0.331	0.292	3.698
C4orf29	1.328	0.323	2.405	1.076	3.942	0.346	0.65	4.144	0.348	2.384	3.628	0.502	0.525	2.476
C4orf3	5.664	4.413	20.646	5.885	27.922	3.948	7.178	23.623	4.574	12.902	22.125	2.182	6.548	20.147
C4orf32	0.508	0.336	1.834	0.515	5.054	0.21	1.214	3.324	0.643	1.766	2.235	0.442	1.239	1.859
C4orf33	0.989	0.052	0.336	0.226	2.373	0	0.23	2.142	0.451	0.702	0.689	0.258	0.594	1.694
C4orf34	8.644	5.96	105.427	19.193	56.452	2.995	7.408	34.265	7.348	39.869	44.716	4.253	7.038	59.279
C4orf36	0.593	0.224	0.479	0.193	0.542	0.839	0.295	0.558	0	0.396	0.47	0.221	0	0.628
C4orf40	0.208	0.042	0	0	0	0	0	0	0.068	0	0	0.105	0.019	0
C4orf45	0.565	0	0	0	0	0	0	0	0.134	0	0	0	0	0
C4orf46	0.676	0.202	1.871	0.498	1.309	0.162	0.685	1.613	0.745	1.182	2.333	0.428	0.328	2.03
C4orf47	1.342	0	0.223	0	0.884	0	0.459	0.462	0.225	0.369	0.813	0.206	0.456	0.65
C4orf48	0	0	0.537	0	0.342	0	0	0.73	0	0.133	0.113	0	0	0
C4orf50	0.241	0	0.023	0.028	0.213	0.06	0	0.124	0.275	0.023	0.019	0.158	0	0.02
C4orf51	0.182	0	0	0	0	0	0	0.067	0	0	0	0.475	0	0
C4orf52	2.805	0.802	15.439	2.335	14.559	0.188	1.058	8.048	0.864	6.163	9.313	2.18	0.789	10.931
C4orf6	0.881	0	0	0	0	0	0.205	0	0.376	0	0	0	0	0
C5	1.308	0.762	2.228	0.802	2.184	0.314	0.573	2.132	0.441	1.985	3.077	0.257	0.553	2.086
C5AR1	0.558	0.564	0.062	0.15	1.156	0.081	0.382	1.274	0.234	0.245	0.338	0.086	0.683	0.27
C5orf15	4.651	1.738	33.013	5.344	24.701	1.42	2.313	18.407	1.584	12.629	22.863	1.057	2.338	20.437
C5orf20	0.441	0.162	0.023	0.056	0.078	0.061	0.114	0.072	0.035	0.16	0.019	0.096	0.028	0.061
C5orf22	2.298	1.069	8.809	2.209	11.052	2.004	1.931	6.685	1.94	5.986	8.299	1.141	1.747	7.014
C5orf24	1.959	0.988	12.815	3.582	12.742	1.075	2.836	9.765	1.746	8.537	11.068	1.466	2.057	11.901
C5orf25	1.231	0.937	2.216	0.724	2.538	0.555	1.216	2.896	0.478	1.569	2.189	0.683	0.949	2.583
C5orf28	1.281	0.221	2.494	0.826	2.785	0.138	0.389	2.018	0.793	1.067	2.515	0.4	0.161	1.904
C5orf30	0.792	0.439	4.96	1.457	5.477	0.19	0.386	3.459	0.473	2.41	2.449	0.234	0.236	2.63
C5orf34	1.001	0.04	0.601	0.173	1.093	0.301	0.388	1.666	0.173	0.51	2.285	0.04	0.21	0.65
C5orf38	0.259	0.913	0.163	0	1.037	0	0.301	0.632	0.123	0.404	0.616	0.226	0	0.925
C5orf4	2.411	3.052	2.708	1.931	11.637	2.098	3.283	11.399	3.69	4.506	7.115	2.347	1.987	3.804
C5orf42	3.26	2.958	11.209	4.51	9.804	0.527	2.02	9.503	1.642	10.148	10.358	0.906	1.476	12.51
C5orf43	5.399	2.321	23.473	4.036	34.033	1.318	2.042	20.799	2.159	18.269	19.963	1.078	2.214	27.395
C5orf44	2.254	0.557	8.735	1.187	10.367	0.675	0.605	9.033	0.565	10.649	8.678	0.68	1.088	13.288
C5orf45	2.56	0.677	3.862	2.263	5.019	0.159	1.415	4.171	0.638	2.692	4.312	1.339	0.518	3.164
C5orf46	0.709	0	0	0	0.113	0.351	0	0.312	0	0.133	1.236	0	0	0
C5orf47	0.305	0	0	0	0	0	0	0	0.043	0.057	0.024	0	0	0
C5orf48	1.172	0	0.158	0	0.268	0	0	0	0.477	0	0	0	0.194	0
C5orf49	0.483	0	0.547	0.331	0.155	0	0.15	0.307	0.092	0.151	1.047	0.169	0.112	0.319
C5orf50	0.455	0	0	0	0	0	0.088	0	0	0	0	0	0	0
C5orf51	2.458	1.421	10.839	3.392	11.967	2.7	3.134	9.743	2.495	8.46	8.703	1.039	3.863	10.334
C5orf52	0.551	0	0	0	0.088	0	0	0	0	0.103	0	0.433	0	0
C5orf54	0.822	1.086	3.098	0.437	1.863	0.136	0.287	2.145	0.39	1.28	1.671	0.358	0.127	1.895
C5orf55	0.327	0.123	1.409	0.533	0.747	0.347	0.435	0.581	0.266	0.916	0.703	0.611	0.162	0.77
C5orf58	0.603	0	0	0	0	0	0	0	0.215	0	0	0	0	0
C5orf60	0.257	0	0	0	0	0.159	0.075	0	0	0	0.051	0.589	0.149	0
C5orf63	0.899	0.675	0.745	0.887	1.002	0.392	0.735	0.81	0.831	1.602	1.503	0.763	0.59	1.122
C5orf64	0.44	0.034	0	0.03	0	0.257	0.09	0.038	0.258	0	0.062	0.338	0.15	0.021
C6	0.599	0.026	0.019	0.023	0.048	0.099	0.046	0.19	0.057	0	0.063	0.104	0.138	0.033
C6orf1	0.574	1.433	1.262	0.436	2.142	0.632	0.222	2.053	0.272	0.655	0.96	1.083	0.442	0.945
C6orf10	1.217	0	0	0	0.2	0	0.125	0.026	0.255	0	0	0.047	0	0
C6orf106	3.079	4.094	9.431	3.651	12.249	2.112	4.372	10.596	3.419	9.428	9.637	4.139	3.137	10.119
C6orf108	1.447	2.55	10.367	5.391	8.644	3.825	4.376	4.308	2.061	5.588	5.427	2.774	4.125	5.166
C6orf118	0.502	0	0.039	0.048	0	0	0	0.031	0.179	0	0.099	0.055	0.145	0
C6orf120	1.706	0.564	9.632	2.263	8.175	1.287	2.481	6.76	1.611	6.307	7.186	0.824	1.157	9.181
C6orf130	3.536	1.991	16.73	2.166	16.923	2.596	1.447	10.738	1.865	9.545	9.912	1.113	2.725	11.545
C6orf132	1.95	3.392	2.612	2.055	5.611	0.876	1.34	3.698	1.997	5.572	2.883	1.953	1.569	5.43
C6orf136	0.699	0.257	0.842	0.177	1.368	0.481	0.362	1.166	0.719	0.835	1.601	1.066	0.494	0.992
C6orf141	0.272	0.3	0.513	0.465	0.073	0	0	0.133	0.129	0.169	0.072	0	0	0.037
C6orf15	0.338	0	0	0	0	0	0.157	0	0	0	0	0.885	0.235	0
C6orf162	1.137	0.376	1.667	1.189	2.578	0.235	1.433	2.544	1.304	2.951	3.83	0.413	1.059	3.461
C6orf163	1.71	0.779	0.389	1.076	0.991	0.146	0.96	1.597	0.42	2.038	2.102	0	0.204	1.943
C6orf165	0.833	0	0.164	0.079	0.583	0.086	0.04	0.178	0.198	0.389	0.798	0	0	0.858
C6orf170	1.019	0.139	1.483	0.461	4.435	0.483	0.61	2.259	0.32	2.674	3.621	0.274	0.329	4.097
C6orf183	0.932	0.28	0.04	0.048	0.136	0	0.148	0.31	0.422	0.158	0.168	0	0	0.209
C6orf195	0.26	0.147	0.035	0	0	0.092	0	0.027	0.106	0.069	0.147	0.097	0	0
C6orf201	0.605	0	0	0.053	0.037	0	0.054	0.034	0.199	0.044	0.074	0	0.054	0
