Feature.ID	B13_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B13_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FF_T2grIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FFPE_T2grIII_Total_Exon_Reads_fwd_RNA.Seq
HORMAD2	0	0	0	0	0	1	0	1	0	0	0	0	0	12	11	0
HOXA1	1	23	1	25	1	171	38	536	3	276	2	261	6	678	175	2
HOXA10	2	57	2	6	4	407	15	576	4	545	3	788	17	2422	234	6
HOXA11	0	3	0	0	2	131	5	51	1	11	0	129	0	177	115	4
HOXA13	4	40	4	20	8	1297	23	522	2	313	15	700	13	2209	204	8
HOXA2	0	6	1	1	1	45	3	27	0	7	0	122	0	105	9	0
HOXA3	5	85	7	34	3	203	29	167	0	78	15	364	8	476	51	3
HOXA4	0	20	1	8	0	61	1	26	0	3	4	141	5	218	60	1
HOXA5	1	176	3	99	3	292	8	233	0	86	16	745	11	1568	227	2
HOXA6	0	26	0	15	0	34	0	1	1	2	0	118	3	158	7	1
HOXA7	1	193	0	24	4	340	1	8	0	2	3	319	5	483	14	3
HOXA9	1	7	2	8	0	38	4	35	0	5	1	34	0	69	17	2
HOXB1	0	0	0	0	0	1	0	4	0	0	0	1	0	1	0	0
HOXB13	0	0	0	1	0	0	6	85	0	83	0	13	0	20	99	3
HOXB2	0	13	2	26	2	282	51	589	3	84	8	174	2	312	63	3
HOXB3	8	47	14	262	22	486	394	1900	13	201	48	1194	33	1021	461	27
HOXB4	1	31	4	128	2	160	80	593	3	160	13	502	4	296	294	14
HOXB5	2	4	4	24	3	54	175	354	0	10	6	389	6	115	146	12
HOXB6	5	17	1	155	8	329	259	1425	11	141	24	1117	15	357	421	15
HOXB7	1	48	0	26	3	285	73	1247	6	573	7	562	3	1010	584	5
HOXB8	1	1	1	45	3	112	51	644	1	23	9	167	1	98	293	5
HOXB9	0	5	0	7	0	36	36	502	1	12	12	379	0	75	41	3
HOXC10	0	6	0	0	0	1	0	2	0	0	3	168	6	285	222	4
HOXC11	0	9	0	0	0	1	0	0	0	0	1	33	0	100	57	0
HOXC12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HOXC13	0	37	0	3	0	6	0	31	0	11	2	123	0	118	107	2
HOXC4	1	48	0	1	0	9	12	57	1	58	12	292	11	400	102	9
HOXC5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
HOXC6	0	0	1	3	0	0	0	0	0	2	1	16	0	10	7	1
HOXC8	0	18	0	1	0	4	0	0	0	0	4	148	7	142	134	2
HOXC9	0	36	0	2	0	6	2	8	0	18	11	400	9	681	25	5
HOXD1	0	4	0	7	0	7	13	128	0	5	2	81	1	247	67	0
HOXD10	3	236	1	106	6	476	4	136	2	76	2	139	2	168	116	1
HOXD11	0	73	0	12	0	161	0	0	0	0	0	3	1	22	25	2
HOXD12	0	0	0	0	0	1	0	1	0	0	0	0	0	0	9	0
HOXD13	3	95	0	0	0	4	0	0	0	0	0	13	0	21	7	0
HOXD3	0	22	1	23	1	50	15	31	1	6	3	124	2	161	45	4
HOXD4	0	27	0	9	2	58	2	76	1	7	2	100	0	227	59	2
HOXD8	1	106	1	18	5	426	5	110	1	42	2	295	6	507	575	8
HOXD9	0	32	1	16	4	165	10	101	2	31	2	185	8	257	196	1
HP	0	0	0	0	0	2	0	3	0	0	0	13	0	22	11	0
HP11026	0	0	0	2	0	8	0	0	0	2	0	2	0	3	5	0
HP1BP3	32	1707	29	795	76	5427	725	5507	79	3764	186	11325	162	16508	9377	214
HPCA	0	0	0	0	0	4	0	0	0	0	0	9	0	3	2	0
HPCAL1	4	45	4	11	4	155	11	173	4	144	5	288	5	295	848	15
HPCAL4	0	3	0	0	0	5	0	4	0	0	0	18	0	21	39	0
HPD	0	0	0	1	0	1	0	0	0	1	0	5	0	3	25	0
HPDL	0	3	0	2	0	2	0	1	0	5	0	11	1	33	30	0
HPGD	9	388	9	1496	5	7373	857	13918	24	10769	107	2302	105	18343	13989	107
HPGDS	0	8	0	0	0	116	5	42	0	13	0	81	0	73	38	4
HPN	0	0	0	1	0	5	0	0	0	0	0	10	0	3	75	0
HPR	0	0	0	0	0	0	0	0	0	0	0	1	0	10	12	0
HPRT1	2	164	2	62	8	1564	52	408	3	516	11	863	10	1557	1139	21
HPS1	2	163	1	78	6	577	54	762	5	628	13	1051	12	815	939	10
HPS3	4	399	4	164	12	2249	129	1861	11	1134	19	2459	31	3259	3026	33
HPS4	7	168	5	178	5	1293	110	1101	8	676	26	1661	20	1843	1836	22
HPS5	3	136	5	146	15	1541	58	964	8	478	14	1280	8	1133	1627	32
HPS6	3	125	2	26	4	299	37	559	2	552	14	604	9	953	504	10
HPSE	2	9	0	5	3	260	2	95	1	34	2	172	0	108	163	1
HPSE2	1	1	0	0	1	36	0	1	0	0	0	9	0	28	41	7
HPX	0	0	0	2	0	14	0	4	0	12	1	15	1	16	15	1
HR	9	678	5	174	6	973	51	831	3	112	5	821	16	640	960	12
HRAS	2	120	2	70	3	381	64	691	7	550	10	353	9	500	783	15
HRASLS	0	2	0	3	1	1	0	3	0	1	0	15	0	6	138	5
HRASLS2	0	0	0	1	0	14	0	1	0	0	0	2	0	12	70	0
HRASLS5	0	0	0	0	0	10	0	1	0	0	0	6	0	41	15	0
HRC	0	2	0	0	0	14	1	23	0	2	1	21	4	57	37	1
HRCT1	0	0	0	0	0	3	0	1	0	0	0	6	0	5	3	0
HRG	0	0	0	0	0	0	0	0	0	0	0	1	0	4	14	0
HRH1	2	69	4	35	6	403	56	711	2	261	10	772	8	671	859	20
HRH2	0	3	0	6	2	119	0	1	0	2	1	37	0	11	101	2
HRH3	0	0	0	0	1	0	0	0	0	0	0	6	0	0	104	2
HRH4	0	1	0	0	0	36	4	12	1	2	1	51	1	11	39	2
HRK	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
HRNR	0	4	0	0	0	13	0	7	0	5	0	50	1	130	39	0
HRSP12	2	50	0	30	3	417	26	423	1	214	5	302	0	423	626	13
HS1BP3	1	89	2	24	5	215	20	291	2	280	3	471	1	411	1125	18
HS2ST1	4	169	8	62	9	2085	226	2383	10	1313	50	3114	32	5843	3852	68
HS3ST1	3	54	3	26	5	280	54	984	3	284	12	677	9	1247	723	4
HS3ST2	0	0	0	0	0	2	0	13	0	4	0	5	0	6	72	0
HS3ST3A1	0	1	0	0	0	12	0	1	0	0	0	13	0	13	26	0
HS3ST3B1	0	9	0	1	0	47	0	7	0	1	1	51	0	5	22	3
HS3ST4	0	0	0	0	0	0	0	1	0	0	0	2	1	4	1	0
HS3ST5	0	2	0	0	0	71	36	278	2	15	7	373	9	645	9	1
HS3ST6	0	13	0	0	0	3	0	28	0	7	0	14	1	44	493	8
HS6ST1	11	583	3	104	28	1878	201	1521	11	1568	37	2085	56	4353	4901	71
HS6ST2	3	333	1	30	3	926	70	1107	10	2961	15	1813	16	2831	2182	23
HS6ST3	5	68	4	280	4	7	553	2603	41	2018	29	613	30	1747	642	31
HSBP1	10	594	6	131	16	2153	219	3102	16	3288	49	3435	51	6535	5285	78
HSBP1L1	1	26	0	34	1	323	29	376	3	155	7	373	9	505	126	3
HSCB	1	25	1	22	3	141	12	178	0	109	7	282	5	375	217	9
HSD11B1	0	1	0	5	0	63	6	39	0	2	2	177	1	70	78	2
HSD11B1L	0	9	0	10	1	45	4	69	1	77	2	79	1	56	21	0
HSD11B2	0	7	0	1	0	10	7	8	0	8	0	33	0	72	141	6
HSD17B1	0	7	1	7	0	39	1	60	0	51	1	43	0	159	310	4
HSD17B10	3	235	0	35	1	1020	32	1050	3	1043	8	785	4	1413	1971	9
HSD17B11	6	154	1	86	12	1157	187	3414	29	2481	22	1642	35	3617	615	14
HSD17B12	8	307	2	130	14	3298	199	2767	12	1684	20	2480	21	4510	1816	39
HSD17B13	0	2	0	8	0	18	3	12	1	10	2	45	0	25	11	0
HSD17B14	0	8	0	0	0	25	0	18	0	4	1	166	3	47	386	7
HSD17B2	2	311	2	308	5	379	220	4272	8	1100	39	2594	34	4135	1788	4
HSD17B3	0	2	0	0	0	4	3	4	0	6	0	2	0	3	11	0
HSD17B4	18	988	14	767	38	5149	346	4748	24	2628	98	7008	83	11657	7857	116
HSD17B6	0	2	0	4	2	74	4	55	0	12	0	64	1	56	29	2
HSD17B7	1	91	2	54	4	412	31	477	7	306	10	692	8	820	1142	15
HSD17B8	2	13	0	20	1	137	7	109	0	79	0	89	1	169	70	0
HSD3B1	0	0	0	2	0	0	0	0	0	0	0	7	0	5	21	0
HSD3B2	0	0	0	0	0	0	0	0	0	0	0	6	0	7	8	0
HSD3B7	0	66	1	7	4	96	5	42	0	33	2	99	1	202	251	8
HSDL1	3	184	1	82	5	669	82	1025	2	617	17	1513	15	2413	2965	46
HSDL2	10	283	7	86	12	1744	137	2381	4	873	22	1702	29	2622	12609	142
HSF1	5	167	4	96	10	1154	81	1271	4	1032	12	801	18	1341	1647	23
HSF2	1	90	0	43	0	437	39	538	1	340	3	677	9	1027	752	9
HSF2BP	0	16	0	3	0	60	11	36	1	37	1	168	4	107	72	1
HSF4	6	102	2	261	4	228	15	155	0	67	7	310	4	177	162	7
HSF5	0	2	0	2	0	29	0	9	0	2	0	54	0	12	42	0
HSFX1	0	10	0	5	0	13	2	21	0	26	2	46	1	11	27	0
HSFX2	0	11	0	4	0	31	1	31	1	28	0	30	0	17	22	0
HSFY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
HSFY2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	6	0
HSH2D	1	16	0	17	2	157	9	229	0	190	8	364	5	214	351	6
HSP90AA1	229	9628	172	3695	496	54629	5793	64036	356	24726	1039	91472	1047	149865	147924	1789
HSP90AB1	145	7846	73	1232	257	29757	2774	38501	207	21344	536	44493	473	77982	77611	954
HSP90B1	106	6811	111	1578	359	40448	1573	20610	152	22610	533	51714	591	82400	41028	611
HSPA12A	2	36	0	0	4	69	3	41	1	29	2	217	5	239	462	25
HSPA12B	0	10	0	2	0	86	3	47	0	16	2	120	1	124	55	3
HSPA13	5	230	3	63	9	1776	50	1179	8	965	13	2265	8	2335	2606	40
HSPA14	4	133	6	79	8	873	57	506	4	468	16	1030	9	1641	1655	16
HSPA1A	41	3901	22	1004	60	13172	221	7325	4	160	116	16698	3	1070	25971	238
HSPA1B	50	3205	31	705	34	9892	1301	31843	51	8368	185	18436	65	11993	24223	333
HSPA1L	2	13	0	3	0	68	13	152	0	39	0	117	1	90	63	1
HSPA2	1	44	1	21	0	136	18	208	0	154	2	409	5	756	700	6
HSPA4	26	736	20	265	36	3010	474	5596	33	3142	98	6459	99	11360	12810	178
HSPA4L	4	216	1	96	9	1104	12	121	3	46	3	225	2	446	846	4
HSPA5	34	2234	40	846	92	11166	518	7820	42	8029	148	22020	167	26102	27299	286
HSPA6	0	81	1	4	1	173	40	556	1	52	0	326	1	130	1439	20
HSPA8	144	8488	83	1623	245	41749	3082	61357	218	51904	518	71056	530	111871	107865	816
HSPA9	33	1945	22	547	39	6008	581	9478	45	5441	134	11504	153	29294	29545	332
HSPB1	47	1757	36	619	86	3814	609	6192	46	2138	84	4523	101	5503	10190	270
HSPB11	0	94	1	66	2	525	41	717	0	394	10	702	2	537	456	9
HSPB2	0	0	0	0	0	4	0	4	0	1	0	3	0	7	0	0
HSPB3	0	1	0	0	0	0	0	0	0	1	0	0	0	4	5	0
HSPB6	0	1	1	1	3	18	3	7	0	2	0	14	0	11	19	14
HSPB7	0	5	0	2	1	32	2	7	0	0	2	25	0	45	12	1
HSPB8	2	42	3	28	5	582	50	528	2	106	15	556	2	225	2896	57
HSPB9	0	1	0	0	0	3	0	1	0	0	0	3	0	1	0	0
HSPBAP1	3	35	2	21	1	195	20	247	3	90	5	308	2	322	450	9
HSPBP1	0	43	0	15	0	128	11	149	2	186	2	290	4	451	819	9
HSPD1	44	1907	18	631	89	11329	665	8675	37	5297	146	10854	145	25274	31919	405
HSPE1	6	242	6	99	23	1190	88	1048	8	702	27	1355	26	2422	3054	89
HSPE1-MOB4	6	119	6	59	8	737	188	1174	7	570	27	1816	8	1206	1486	36
HSPG2	41	1240	18	338	46	6107	442	4938	43	1388	111	15248	126	9410	5732	153
HSPH1	33	1914	23	684	54	7368	1095	11305	62	5785	148	13044	120	12095	19031	251
HTATIP2	9	231	6	74	7	1550	89	1669	5	1131	11	862	13	1141	1834	23
HTATSF1	7	770	7	141	50	4549	247	2129	23	1894	65	3509	67	6871	5382	107
HTN1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0
HTN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
HTR1A	0	0	0	0	0	3	0	0	0	0	0	0	0	4	2	0
HTR1B	0	1	0	2	0	3	3	32	0	28	3	19	0	7	4	0
HTR1D	0	0	0	0	0	5	0	0	0	0	0	2	0	16	35	0
HTR1E	0	1	0	0	0	2	0	0	0	0	0	3	0	11	6	0
HTR1F	0	11	0	3	0	57	7	33	1	10	5	260	5	467	56	1
HTR2A	0	0	0	0	0	1	0	0	0	1	0	3	0	9	6	2
HTR2B	1	11	0	7	0	34	2	46	0	9	0	110	1	147	29	1
HTR2C	1	107	1	15	1	96	19	132	4	207	3	230	2	315	195	4
HTR3A	0	0	0	0	0	2	0	0	0	1	0	1	0	5	2	0
HTR3B	0	0	1	0	0	4	5	1	0	0	0	10	0	23	12	1
HTR3C	0	0	0	0	0	0	0	0	0	0	0	0	0	6	16	0
HTR3D	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0
HTR3E	0	0	0	0	0	0	0	0	0	0	0	15	0	20	7	0
HTR4	0	0	0	1	0	5	0	0	0	1	0	2	0	14	16	0
HTR5A	0	0	0	0	0	0	0	0	0	0	0	0	0	18	9	0
HTR6	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
HTR7	3	96	0	39	1	29	152	938	10	312	20	481	3	347	26	1
HTRA1	5	153	5	75	17	2047	123	2567	15	6087	31	2557	33	5811	1030	53
HTRA2	1	54	2	18	2	224	17	338	1	322	3	323	1	509	465	7
HTRA3	0	10	1	1	2	187	0	21	0	14	0	173	0	113	74	13
HTRA4	0	4	0	4	0	40	3	24	0	4	1	88	1	29	57	0
HTT	27	1506	12	623	36	4879	436	4003	46	2215	114	8281	95	8562	7643	107
HUNK	0	8	0	1	0	39	8	63	1	10	4	127	0	92	253	3
HUS1	10	194	5	98	16	771	132	1220	8	737	22	1890	25	2687	1171	17
HUWE1	109	6000	86	1677	179	16998	1887	14667	182	11133	427	32941	495	42537	48428	719
HVCN1	0	20	0	5	1	223	5	115	3	166	2	175	1	150	72	3
HYAL1	1	7	1	2	1	41	8	36	1	7	0	74	0	85	26	2
HYAL2	2	85	2	26	1	677	36	775	4	641	10	1059	7	1758	776	10
HYAL3	0	10	0	5	2	42	0	34	0	27	2	65	0	109	91	1
HYAL4	0	12	0	2	0	31	0	16	0	22	0	29	0	41	25	0
HYDIN	6	255	0	2	3	8	46	579	3	115	18	569	19	920	855	14
HYI	1	86	0	27	4	247	16	241	3	198	2	372	2	433	168	2
HYLS1	1	53	1	9	0	152	10	184	2	186	4	288	6	798	381	1
HYOU1	14	791	12	217	34	3262	293	4864	21	2955	75	7789	85	11997	10666	133
HYPK	0	172	0	36	9	379	50	377	11	214	5	475	8	710	649	12
IAH1	0	43	4	20	3	329	40	448	5	481	6	512	10	960	592	7
IAPP	1	7	0	0	0	13	3	0	1	0	1	8	0	12	23	0
IARS	16	582	5	145	18	3984	156	3078	20	2400	54	4862	34	6550	10162	124
IARS2	26	745	13	168	32	4317	585	6928	35	4796	105	7815	117	16707	7227	113
IBA57	8	151	7	46	7	323	135	479	14	252	29	985	47	1092	436	21
IBSP	0	5	0	1	1	22	0	16	0	2	1	26	0	14	9	0
IBTK	10	629	9	372	20	3514	384	4512	40	2268	44	4297	53	6629	3917	58
ICA1	6	320	2	138	9	532	264	2363	27	1592	34	2591	61	4004	2004	60
ICA1L	0	20	2	26	5	402	47	259	3	219	13	460	16	576	185	9
ICAM1	4	91	2	69	14	1350	5	202	3	39	10	1567	2	246	1222	20
ICAM2	0	12	1	5	2	123	14	391	0	158	3	260	5	302	136	1
ICAM3	2	41	0	5	1	227	12	187	1	137	3	392	6	917	181	1
ICAM4	0	0	0	3	0	7	0	2	0	4	0	23	0	10	7	1
ICAM5	0	3	0	0	0	7	2	1	0	4	0	16	0	13	17	0
ICK	12	528	14	259	19	2634	188	2403	16	1257	39	2556	20	3301	2216	44
ICMT	17	563	8	111	30	3280	177	3167	14	2117	42	2888	33	5893	5688	88
ICOS	2	27	0	3	0	295	1	28	0	1	2	512	0	11	82	3
ICOSLG	1	55	3	15	2	236	11	98	0	25	3	317	4	252	573	17
ICT1	2	44	1	14	4	328	44	515	5	580	5	391	6	901	852	10
ID1	13	622	6	365	16	4012	353	9377	13	5124	60	5196	43	7667	5285	59
ID2	7	206	7	21	2	439	198	2298	13	530	30	2800	26	3351	1092	20
ID3	1	106	0	57	2	206	25	976	3	259	5	1086	3	1378	124	8
ID4	4	246	2	22	8	107	326	3902	32	6426	32	2247	24	2934	252	14
IDE	17	837	9	190	13	2636	269	4245	27	4550	74	5369	42	8878	6852	50
IDH1	62	3843	16	864	132	17477	916	18946	73	7419	229	14620	158	30964	29122	277
IDH2	5	201	4	63	7	2278	46	1428	5	2077	20	2888	18	5470	6776	51
IDH3A	9	231	1	52	6	1276	105	1133	10	867	30	1734	21	3002	1677	17
IDH3B	6	246	4	82	14	1159	40	1200	4	1082	13	1267	20	2022	2038	15
IDH3G	3	100	1	53	7	1140	15	793	3	741	6	598	4	983	756	7
IDI1	1	146	5	48	5	1520	76	932	7	836	12	1726	14	2770	3205	61
IDI2	0	1	0	1	0	0	1	12	0	8	0	17	0	25	18	0
IDNK	0	15	0	7	1	87	9	83	0	57	1	81	2	81	70	4
IDO1	2	44	10	339	48	8143	3	32	0	11	2	193	4	23	346	2
IDO2	0	2	1	6	0	16	0	3	0	0	0	33	0	23	7	2
IDS	17	588	9	210	41	3929	333	3268	25	1584	71	4673	49	3975	3605	85
IDUA	2	24	1	100	2	220	13	455	0	273	2	264	3	188	101	2
IER2	14	252	3	62	11	593	112	911	11	1025	41	1695	53	2570	1988	62
IER3	3	179	8	31	6	528	47	269	6	246	11	805	11	635	919	52
IER3IP1	8	186	5	45	17	1882	118	1980	9	1311	12	1509	18	3511	871	20
IER5	6	476	8	38	9	879	99	1491	5	1149	21	1839	25	2579	2241	34
IER5L	3	133	2	18	1	246	25	553	4	599	4	588	1	589	919	6
IFFO1	1	56	2	26	5	210	7	91	2	23	3	388	7	235	166	12
IFFO2	12	271	1	39	15	1117	93	757	9	759	26	1132	39	3629	3532	52
IFI16	53	6980	40	2082	82	14189	459	8041	26	1426	113	12517	33	4329	4680	117
IFI27	22	644	10	95	53	6085	77	3190	3	76	10	578	8	1016	7439	55
IFI27L1	0	10	2	3	0	45	5	41	0	37	1	36	1	76	50	1
IFI27L2	2	22	1	7	3	198	9	186	0	63	3	158	0	159	67	2
IFI30	12	276	5	76	33	2955	20	473	1	225	24	2036	1	309	3949	37
IFI35	2	29	0	35	4	589	15	525	2	243	7	264	4	265	967	6
IFI44	4	129	6	237	15	2355	45	2110	7	260	24	1745	11	1439	3048	32
IFI44L	21	82	18	234	24	2509	92	3366	9	7	17	1671	11	447	3374	70
IFI6	38	99	4	27	15	1141	34	2417	4	64	15	1235	7	664	8929	121
IFIH1	3	227	5	107	6	1627	40	942	3	221	14	1385	4	926	3570	34
IFIT1	1	21	0	10	1	280	7	651	0	5	1	592	4	340	1808	20
IFIT1B	0	0	0	0	0	0	1	1	0	0	0	2	0	4	11	0
IFIT2	4	38	2	13	7	408	17	416	2	34	3	600	3	280	1143	21
IFIT3	6	134	0	40	16	1393	37	1276	2	80	14	1260	2	644	4055	37
IFIT5	0	119	0	43	5	901	39	1386	1	442	14	1239	9	1227	1799	19
IFITM1	2	66	2	29	12	2669	7	520	1	39	2	760	2	540	1330	11
IFITM10	30	424	28	104	22	239	1204	2222	215	2924	66	415	114	944	638	51
IFITM2	1	21	0	9	6	422	9	272	0	52	3	293	0	264	174	16
IFITM3	3	48	5	14	37	2688	22	648	4	153	3	635	8	634	1609	40
IFITM5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
IFLTD1	1	35	0	3	1	18	3	9	0	12	0	26	0	34	43	0
IFNA1	0	0	0	0	0	0	0	2	0	0	0	1	0	7	1	0
IFNA10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0
IFNA13	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0
IFNA14	0	0	0	0	0	3	0	0	0	0	0	0	0	4	3	0
IFNA16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IFNA17	0	0	0	0	0	0	0	1	0	0	0	0	0	9	2	0
IFNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
IFNA21	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0
IFNA4	0	0	0	0	0	0	0	0	0	0	0	0	0	15	6	0
IFNA5	0	0	0	0	0	0	0	0	0	0	0	3	0	1	4	0
IFNA7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
IFNA8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0
IFNAR1	24	712	4	257	32	4401	449	4563	34	2800	99	7220	65	8319	5787	114
IFNAR2	7	193	6	84	14	1044	135	785	9	311	69	2418	35	2229	1368	48
IFNB1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0
IFNE	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0
IFNG	0	1	0	0	1	147	0	1	0	0	0	21	0	2	42	0
IFNGR1	14	993	13	240	18	5078	214	4929	21	2902	38	4624	9	4316	2990	25
IFNGR2	12	598	15	177	28	2667	229	3573	26	4448	31	3576	49	8250	3607	71
IFNK	0	0	0	0	0	1	0	3	0	0	0	3	0	11	12	0
IFNW1	0	0	0	1	0	0	0	0	0	0	0	0	0	6	4	0
IFRD1	1	260	3	174	10	1556	151	1247	16	845	30	3734	34	4955	2697	54
IFRD2	6	119	2	28	9	501	14	507	8	409	12	506	14	986	767	18
IFT122	3	166	3	78	12	591	24	337	7	202	12	751	11	742	1144	35
IFT140	3	132	4	108	4	266	151	1176	8	396	33	1827	34	2129	1136	25
IFT172	6	303	3	143	14	735	82	734	4	304	21	1561	23	1492	1462	31
IFT20	0	43	0	56	8	936	44	1211	9	941	13	785	10	1372	1751	29
IFT27	2	33	1	41	1	197	18	280	0	182	6	428	2	489	872	12
IFT43	0	37	1	29	4	258	16	211	1	179	1	339	4	371	443	4
IFT46	0	154	4	46	9	501	76	962	7	689	8	983	12	1145	1133	11
IFT52	2	79	2	26	0	457	31	581	3	417	1	671	7	719	541	8
IFT57	5	630	8	54	7	1547	82	984	9	653	27	1809	21	2716	2477	77
IFT74	1	171	3	50	10	463	57	691	6	394	17	705	13	902	820	13
IFT80	6	337	6	310	13	2290	163	1989	16	682	56	2626	23	3328	1605	29
IFT81	3	165	6	61	5	571	41	469	6	376	25	1109	15	1610	983	27
IFT88	4	260	4	32	2	312	68	620	6	397	5	1148	16	1324	1110	22
IGBP1	4	417	2	83	6	1122	132	2480	12	2286	17	1782	18	2872	2144	30
IGDCC3	0	0	0	0	0	2	0	0	0	0	0	30	0	26	16	1
IGDCC4	0	3	0	5	0	151	3	77	1	14	5	177	2	113	124	9
IGF1	1	11	1	12	6	243	4	115	0	23	4	245	1	135	411	48
IGF1R	20	438	13	238	31	2246	780	6679	78	2671	162	5971	109	10498	869	48
IGF2	325	375	668	28	520	152	91221	111615	7911	56745	7805	243119	14224	249243	245	381
IGF2BP1	0	0	6	2	0	1	0	4	0	1	0	9	0	27	95	1
IGF2BP2	2	13	9	11	10	700	26	130	3	247	2	79	2	163	1426	31
IGF2BP3	0	5	5	11	0	36	3	16	0	3	0	90	0	94	53	2
IGF2R	49	2054	24	525	72	8606	848	7948	66	5555	178	16448	174	17635	11384	191
IGFALS	0	0	0	0	0	1	0	1	0	0	0	1	0	1	5	0
IGFBP1	0	0	0	1	0	0	0	3	0	0	0	0	0	9	2	0
IGFBP2	2	31	1	8	2	85	81	2208	10	657	6	485	12	1516	383	7
IGFBP3	73	1815	69	850	360	39866	4492	53457	603	153116	318	23390	417	53304	76732	764
IGFBP4	17	136	22	301	70	2402	764	7231	65	3991	96	4876	97	4559	2731	145
IGFBP5	44	130	27	45	152	5380	3629	30243	277	18394	158	6804	192	18608	3478	851
IGFBP6	0	9	1	2	1	140	4	105	1	710	0	87	0	129	74	1
IGFBP7	8	384	7	162	42	5445	354	8422	47	4496	80	10588	93	17892	4195	233
IGFBPL1	0	0	0	0	0	1	0	1	0	0	0	11	0	19	55	0
IGFL1	0	1	0	0	0	57	8	87	0	9	0	125	2	256	1421	10
IGFL2	0	0	0	0	0	0	0	2	0	0	0	2	0	8	5	5
IGFL3	0	1	0	0	0	1	0	0	0	0	0	0	0	3	3	0
IGFL4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
IGFLR1	0	9	0	2	0	83	1	32	0	16	1	49	0	29	83	1
IGFN1	2	0	1	0	0	1	1	2	0	0	0	5	0	67	73	2
IGHMBP2	18	1298	1	98	7	403	35	343	7	239	8	612	11	921	435	4
IGIP	5	142	1	52	7	440	138	849	6	256	22	1388	24	1094	1037	26
IGJ	6	661	14	793	66	12129	40	5765	0	15	74	36440	2	164	612	28
IGLL1	0	0	0	0	0	0	0	1	0	0	0	9	0	7	1	0
IGLL5	13	466	6	648	41	3550	1	221	1	0	34	2156	1	42	60	7
IGLON5	0	0	0	1	0	1	0	0	0	1	0	4	0	14	33	0
IGSF1	0	4	0	4	0	41	1	2	0	0	1	4	0	40	32	0
IGSF10	1	19	2	2	1	106	0	22	0	8	0	14	0	44	262	3
IGSF11	2	120	0	2	0	6	15	77	1	80	0	17	1	27	241	8
IGSF21	0	0	0	0	0	6	0	25	0	1	0	13	0	11	25	0
IGSF22	0	2	0	5	0	23	7	62	0	43	1	26	3	55	30	2
IGSF23	0	0	1	0	0	0	0	0	0	0	2	0	0	4	3	0
IGSF3	16	616	9	197	23	1047	261	2514	20	1868	60	2578	75	9128	3902	48
IGSF5	0	4	0	1	0	4	9	146	1	69	4	60	1	22	40	3
IGSF6	1	20	0	10	5	309	7	68	0	9	2	333	0	53	182	2
IGSF8	2	139	1	15	5	283	54	918	4	684	4	786	7	1209	410	4
IGSF9	2	77	1	9	4	63	10	34	1	46	9	682	23	971	2025	39
IGSF9B	0	15	0	3	0	27	5	29	1	2	3	74	4	109	90	2
IHH	0	0	0	0	0	0	0	20	0	0	0	4	0	4	10	1
IK	7	727	11	180	24	1646	268	3030	26	1642	64	4479	81	6100	4707	87
IKBIP	1	101	3	47	13	1141	23	348	2	240	12	1433	5	1542	633	14
